Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp
Akira-Hayasaka/ofxGLEditor,2011-07-16 02:17:43+00:00,6675,78,C++,13,0,9,5,2017-11-24 18:59:36+00:00
Irrelon/iOS-JavaScript-Bridge,2011-07-03 21:15:14+00:00,2127,53,C++,10,0,2,2,2017-11-24 19:04:25+00:00
kinetiknz/cubeb,2011-07-08 04:20:48+00:00,3101,189,C++,57,61,17,44,2018-02-27 16:55:05+00:00
dariaphoebe/bochs,2009-11-04 18:55:51+00:00,23192,41,C++,17,0,13,0,2017-01-11 23:21:45+00:00
tchaikov/scim-googlepinyin,2009-08-30 09:35:21+00:00,1377,72,C++,30,0,4,2,2017-11-24 19:06:24+00:00
grogers0/CppQuickCheck,2010-10-17 22:11:17+00:00,167,88,C++,14,2,4,4,2017-08-31 14:17:27+00:00
daviddoria/Inpainting,2010-10-06 22:11:27+00:00,874,14,C++,9,0,3,1,2016-12-15 07:53:54+00:00
thomas-moulard/visp-deb,2010-09-13 14:56:55+00:00,16062,4,C++,5,0,0,2,2019-12-09 20:05:41+00:00
PhilippMuenzel/PPL,2010-12-16 12:13:33+00:00,711,22,C++,9,1,7,4,2017-04-04 14:36:01+00:00
mangosArchives/Mangos-One-server-old,2010-12-30 11:14:51+00:00,42294,98,C++,59,33,25,66,2017-11-24 19:01:24+00:00
linuxmint/mint4win,2010-05-13 10:19:06+00:00,43132,30,C++,10,0,5,2,2017-11-24 19:21:00+00:00
sit/dht,2011-07-05 19:06:29+00:00,5833,297,C++,77,1,50,4,2017-11-24 18:50:08+00:00
gritzko/swift,2009-12-12 12:14:15+00:00,3132,54,C++,13,1,6,1,2016-07-06 06:04:48+00:00
bitcoin/bitcoin,2010-12-19 15:16:43+00:00,138828,41692,C++,24848,1096,3506,368,2017-01-27 02:22:27+00:00
kylelutz/chemkit,2011-02-13 03:39:05+00:00,8742,32,C++,15,10,8,8,2017-11-24 19:58:16+00:00
thomasmoelhave/tpie,2010-01-10 20:16:54+00:00,19108,73,C++,16,40,16,10,2017-11-24 18:59:53+00:00
acoustid/acoustid-fingerprinter,2011-04-23 07:44:23+00:00,210,25,C++,9,3,3,4,2016-05-21 19:35:41+00:00
fursund/EmguCV-Unity,2010-08-11 12:31:23+00:00,41345,19,C++,11,1,4,1,2017-11-24 20:03:08+00:00
BenLand100/SMART,2011-01-13 01:31:54+00:00,860,31,C++,12,2,6,2,2017-11-24 19:56:21+00:00
cjang/GATLAS,2010-05-13 21:21:59+00:00,713,21,C++,6,5,3,1,2017-11-24 19:51:05+00:00
joakim666/colortail,2009-11-19 11:54:37+00:00,96,80,C++,19,7,8,4,2018-02-27 16:44:20+00:00
tomz/liblinear-ruby-swig,2009-02-28 19:17:33+00:00,1579,81,C++,10,5,4,3,2017-09-11 23:36:38+00:00
jreese/znc-push,2011-01-11 03:35:38+00:00,854,508,C++,120,46,41,55,2019-10-31 01:13:57+00:00
worldforge/cyphesis,2011-03-21 23:12:18+00:00,31805,47,C++,27,4,10,16,2017-11-24 19:55:35+00:00
commontk/Log4Qt,2010-06-13 23:03:32+00:00,1623,7,C++,5,1,3,1,2017-11-25 10:04:41+00:00
atomopawn/ITVal,2010-11-19 06:06:04+00:00,467,13,C++,6,2,5,2,2016-07-06 20:52:34+00:00
ukhas/dl-fldigi,2010-03-19 19:18:30+00:00,24118,49,C++,31,11,12,21,2017-11-24 20:08:53+00:00
antico/antico,2009-01-25 11:35:00+00:00,1534,28,C++,13,1,4,1,2017-11-24 20:15:55+00:00
stolowski/QComicBook,2009-12-16 21:16:52+00:00,2629,50,C++,18,25,8,6,2017-11-24 23:30:38+00:00
waveto/node-crypto,2009-11-22 01:57:52+00:00,122,64,C++,15,0,4,3,2017-11-24 18:53:52+00:00
wayfinder/Wayfinder-S60-Navigator,2010-06-28 06:54:01+00:00,12029,17,C++,7,0,10,0,2017-05-15 06:54:54+00:00
chokkan/simstring,2010-11-12 14:53:13+00:00,372,80,C++,38,16,11,1,2017-09-27 07:36:37+00:00
danmar/cppcheck,2009-03-04 20:16:45+00:00,87689,2498,C++,772,19,198,126,2017-11-24 18:28:32+00:00
vfeitoza/thundercache,2010-10-20 19:41:41+00:00,245,5,C++,7,0,4,2,2017-09-03 06:26:23+00:00
Flusspferd/flusspferd,2010-07-01 00:40:48+00:00,8436,21,C++,10,1,2,8,2017-11-24 19:21:03+00:00
mana/manaserv,2011-03-23 22:15:29+00:00,9505,104,C++,41,9,28,23,2017-11-24 18:30:47+00:00
sofian/qualia,2011-06-28 19:29:12+00:00,37677,8,C++,8,35,1,4,2017-04-04 15:04:19+00:00
niw/iphone_opencv_test,2009-03-05 18:28:43+00:00,59982,386,C++,75,1,6,1,2017-11-24 18:33:21+00:00
mapnik/Ruby-Mapnik,2011-07-08 01:29:14+00:00,3455,60,C++,13,11,12,5,2017-04-17 10:07:36+00:00
vibornoff/node-yajl,2011-04-28 16:55:41+00:00,633,18,C++,6,1,2,4,2016-05-27 14:47:18+00:00
nashby/cityhash,2011-04-22 07:00:53+00:00,164,88,C++,42,5,3,9,2017-10-11 17:39:41+00:00
SkyFireArchives/SkyFireEMU_420,2011-08-06 22:42:08+00:00,160851,64,C++,21,0,18,34,2017-08-03 22:44:50+00:00
markusfisch/PieDock,2010-12-07 18:27:27+00:00,525,12,C++,6,3,4,3,2017-09-07 07:36:37+00:00
hanzz/spectrum,2009-08-07 14:52:14+00:00,5375,49,C++,10,15,9,7,2017-11-24 19:38:56+00:00
cooperhewitt/Planetary,2011-03-01 04:32:11+00:00,37188,188,C++,30,11,39,5,2017-11-24 18:50:40+00:00
pyside/Tools,2011-06-17 14:43:02+00:00,349,15,C++,9,6,12,6,2017-03-18 12:36:50+00:00
bruceg/nullmailer,2010-11-11 17:09:39+00:00,607,111,C++,24,1,18,4,2017-11-24 19:06:38+00:00
blackberry/WebWorks-Community-APIs,2011-08-05 15:58:30+00:00,162197,144,C++,218,53,29,51,2016-11-24 16:19:19+00:00
codebutler/firesheep,2010-10-10 20:09:00+00:00,6385,2153,C++,603,48,173,10,2017-10-22 13:45:09+00:00
ekg/fastahack,2010-04-14 22:42:59+00:00,70,39,C++,19,6,4,5,2017-11-24 19:28:45+00:00
mana/manamobile,2011-08-07 20:16:39+00:00,3905,18,C++,10,5,12,4,2017-11-24 19:21:53+00:00
Atlantis-PBEM/Atlantis,2011-03-31 11:05:47+00:00,7166,46,C++,26,20,20,2,2017-11-24 19:50:21+00:00
