Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp,available,clone_date,developers_count,commit_count_after_introduction
Akira-Hayasaka/ofxGLEditor,2011-07-16 02:17:43+00:00,6675,78,C++,13,0,9,5,2017-11-24 18:59:36+00:00,True,2026-06-22 20:32:44.925886,10,199
kinetiknz/cubeb,2011-07-08 04:20:48+00:00,3101,189,C++,57,61,17,44,2018-02-27 16:55:05+00:00,True,2026-06-22 20:32:49.055401,87,1505
thomas-moulard/visp-deb,2010-09-13 14:56:55+00:00,16062,4,C++,5,0,0,2,2019-12-09 20:05:41+00:00,True,2026-06-22 20:33:00.755561,2,139
PhilippMuenzel/PPL,2010-12-16 12:13:33+00:00,711,22,C++,9,1,7,4,2017-04-04 14:36:01+00:00,True,2026-06-22 20:33:02.664649,13,207
mangosArchives/Mangos-One-server-old,2010-12-30 11:14:51+00:00,42294,98,C++,59,33,25,66,2017-11-24 19:01:24+00:00,True,2026-06-22 20:33:07.170771,311,1506
bitcoin/bitcoin,2010-12-19 15:16:43+00:00,138828,41692,C++,24848,1096,3506,368,2017-01-27 02:22:27+00:00,True,2026-06-22 20:33:58.494307,1330,48198
kylelutz/chemkit,2011-02-13 03:39:05+00:00,8742,32,C++,15,10,8,8,2017-11-24 19:58:16+00:00,True,2026-06-22 20:34:01.759323,11,618
thomasmoelhave/tpie,2010-01-10 20:16:54+00:00,19108,73,C++,16,40,16,10,2017-11-24 18:59:53+00:00,True,2026-06-22 20:34:05.182620,45,3077
BenLand100/SMART,2011-01-13 01:31:54+00:00,860,31,C++,12,2,6,2,2017-11-24 19:56:21+00:00,True,2026-06-22 20:34:13.075105,7,174
jreese/znc-push,2011-01-11 03:35:38+00:00,854,508,C++,120,46,41,55,2019-10-31 01:13:57+00:00,True,2026-06-22 20:34:20.681027,61,262
worldforge/cyphesis,2011-03-21 23:12:18+00:00,31805,47,C++,27,4,10,16,2017-11-24 19:55:35+00:00,True,2026-06-22 20:34:25.874445,34,4106
ukhas/dl-fldigi,2010-03-19 19:18:30+00:00,24118,49,C++,31,11,12,21,2017-11-24 20:08:53+00:00,True,2026-06-22 20:34:31.611082,42,616
danmar/cppcheck,2009-03-04 20:16:45+00:00,87689,2498,C++,772,19,198,126,2017-11-24 18:28:32+00:00,True,2026-06-22 20:34:56.248119,561,23718
mana/manaserv,2011-03-23 22:15:29+00:00,9505,104,C++,41,9,28,23,2017-11-24 18:30:47+00:00,True,2026-06-22 20:35:03.077385,40,441
sofian/qualia,2011-06-28 19:29:12+00:00,37677,8,C++,8,35,1,4,2017-04-04 15:04:19+00:00,True,2026-06-22 20:35:06.437314,6,631
mapnik/Ruby-Mapnik,2011-07-08 01:29:14+00:00,3455,60,C++,13,11,12,5,2017-04-17 10:07:36+00:00,True,2026-06-22 20:35:12.791451,5,144
markusfisch/PieDock,2010-12-07 18:27:27+00:00,525,12,C++,6,3,4,3,2017-09-07 07:36:37+00:00,True,2026-06-22 20:35:29.549020,5,109
cooperhewitt/Planetary,2011-03-01 04:32:11+00:00,37188,188,C++,30,11,39,5,2017-11-24 18:50:40+00:00,True,2026-06-22 20:35:48.845395,5,144
bruceg/nullmailer,2010-11-11 17:09:39+00:00,607,111,C++,24,1,18,4,2017-11-24 19:06:38+00:00,True,2026-06-22 20:35:52.540867,16,227
blackberry/WebWorks-Community-APIs,2011-08-05 15:58:30+00:00,162197,144,C++,218,53,29,51,2016-11-24 16:19:19+00:00,True,2026-06-22 20:36:03.255161,78,1364
mana/manamobile,2011-08-07 20:16:39+00:00,3905,18,C++,10,5,12,4,2017-11-24 19:21:53+00:00,True,2026-06-22 20:36:09.146355,7,348
Atlantis-PBEM/Atlantis,2011-03-31 11:05:47+00:00,7166,46,C++,26,20,20,2,2017-11-24 19:50:21+00:00,True,2026-06-22 20:36:12.325752,26,295
daviddoria/PatchBasedInpainting,2011-05-17 15:13:50+00:00,54779,32,C++,16,0,9,2,2016-12-15 06:25:42+00:00,True,2026-06-22 20:36:16.961146,2,867
freeserf/freeserf,2011-06-21 21:28:03+00:00,4356,169,C++,37,36,25,10,2017-10-08 22:37:02+00:00,True,2026-06-22 20:36:28.413989,15,1155
Metabolix/PutkaRTS,2011-02-06 11:26:52+00:00,797,29,C++,16,9,5,11,2017-11-24 19:58:28+00:00,True,2026-06-22 20:36:30.302007,12,175
