Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
signumsoftware/framework,2011-07-04 22:51:24+00:00,36271,136,C#,63,0,37,14,MIT,2017-11-24 18:56:02+00:00,103,26601
SubtitleEdit/subtitleedit,2014-02-03 08:17:41+00:00,197880,1453,C#,302,454,116,44,GPL-3.0,2017-03-23 16:09:02+00:00,177,19780
Ginger-Automation/Ginger,2018-06-16 22:22:52+00:00,205855,41,C#,34,19,17,20,Apache-2.0,2020-01-12 21:23:10+00:00,91,17737
GridProtectionAlliance/gsf,2015-08-14 23:05:31+00:00,217440,85,C#,44,9,38,27,MIT,2019-06-22 05:19:23+00:00,65,14835
duplicati/duplicati,2014-08-05 08:28:16+00:00,96802,4471,C#,526,854,205,32,LGPL-2.1,2017-11-24 18:52:55+00:00,214,8964
openrails/openrails,2018-01-15 20:35:15+00:00,738685,4,C#,10,3,2,1,GPL-3.0,2018-04-17 20:31:51+00:00,79,8085
GitTools/GitVersion,2013-08-27 07:30:20+00:00,26497,1457,C#,447,122,69,142,MIT,2019-05-21 15:22:58+00:00,346,6517
emgucv/emgucv,2017-01-04 19:23:13+00:00,238762,820,C#,308,155,83,0,GPL-3.0,2017-01-07 07:58:03+00:00,28,5538
AutoMapper/AutoMapper,2010-02-06 15:17:58+00:00,72908,6781,C#,1463,10,399,130,MIT,2019-06-03 19:18:58+00:00,199,4213
RicoSuter/NSwag,2015-09-02 19:11:57+00:00,52554,3089,C#,617,738,160,118,MIT,2019-07-05 17:19:06+00:00,295,4171
Paymentsense/Dapper.SimpleSave,2015-07-21 10:58:05+00:00,51381,28,C#,7,14,9,10,MIT,2019-01-08 18:21:20+00:00,37,3953
DSharpPlus/DSharpPlus,2016-09-02 17:51:34+00:00,13360,287,C#,72,15,22,35,MIT,2019-03-05 18:02:34+00:00,175,3835
watson-developer-cloud/unity-sdk,2015-12-16 17:40:51+00:00,323997,406,C#,155,20,76,7,Apache-2.0,2017-03-23 16:16:42+00:00,32,3567
SteeltoeOSS/steeltoe,2019-04-04 15:35:19+00:00,7730,123,C#,27,59,13,36,Apache-2.0,2019-10-24 10:13:16+00:00,77,3452
NosCoreIO/NosCore,2018-01-21 08:28:57+00:00,5768,67,C#,30,36,16,1,GPL-3.0,2018-01-21 16:03:42+00:00,43,3446
anoyetta/ACT.Hojoring,2017-11-03 12:47:42+00:00,310139,191,C#,50,45,50,1,BSD-3-Clause,2018-01-17 10:38:20+00:00,21,3281
getsentry/sentry-dotnet,2018-05-14 14:29:17+00:00,3791,76,C#,33,20,8,1,MIT,2018-10-03 10:05:53+00:00,79,2986
PoESkillTree/PoESkillTree,2014-08-16 05:55:28+00:00,44341,519,C#,114,17,79,21,MIT,2018-01-16 21:24:32+00:00,32,2548
ExtendRealityLtd/VRTK,2016-04-23 20:55:19+00:00,92151,2982,C#,889,25,288,36,MIT,2017-03-23 16:18:45+00:00,65,2473
moq/moq,2017-02-28 15:48:46+00:00,694,91,C#,18,6,9,1,MIT,2017-03-30 00:13:51+00:00,139,2345
elfinlazz/aura-2,2015-08-28 15:45:15+00:00,57578,5,C#,88,0,0,0,GPL-3.0,2017-01-25 06:54:10+00:00,22,2234
aws/aws-lambda-dotnet,2016-11-11 20:43:34+00:00,20586,629,C#,206,97,117,61,Apache-2.0,2019-10-25 06:19:14+00:00,187,2223
rsdn/CodeJam,2016-03-16 06:38:38+00:00,13875,159,C#,29,4,29,11,MIT,2019-12-29 13:18:38+00:00,17,2214
exercism/csharp,2014-02-28 09:24:11+00:00,3013,108,C#,116,7,13,17,MIT,2017-11-24 19:06:01+00:00,212,2213
Chillisoft/habanero,2013-10-31 08:28:54+00:00,128138,4,C#,7,47,12,11,GPL-3.0,2017-05-01 18:18:24+00:00,26,2124
SolrNet/SolrNet,2010-03-04 02:01:20+00:00,125024,800,C#,774,62,117,80,Apache-2.0,2019-06-25 22:46:03+00:00,122,2046
Wyamio/Wyam,2014-09-22 13:45:30+00:00,32980,1132,C#,206,218,80,44,MIT,2018-01-16 21:32:53+00:00,71,1737
stormpath/stormpath-sdk-dotnet,2015-07-29 21:34:48+00:00,7195,51,C#,11,1,37,6,Apache-2.0,2018-11-17 08:28:27+00:00,8,1511
Samsung/Tizen-CSharp-Samples,2017-09-01 01:47:10+00:00,133001,50,C#,66,2,39,2,Apache-2.0,2017-09-06 01:36:18+00:00,148,1415
microsoft/dotnet-apiport,2014-12-12 18:04:11+00:00,3444,716,C#,125,48,153,22,MIT,2017-03-23 16:16:45+00:00,49,1277
