Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits,clone_date,developers_count,commit_count_after_introduction
signumsoftware/framework,2011-07-04 22:51:24+00:00,36271,136,C#,63,0,37,14,MIT,2017-11-24 18:56:02+00:00,103.0,26601.0,2026-06-16 01:51:20.271896,113,29400
SubtitleEdit/subtitleedit,2014-02-03 08:17:41+00:00,197880,1453,C#,302,454,116,44,GPL-3.0,2017-03-23 16:09:02+00:00,177.0,19780.0,2026-06-16 01:51:31.664245,233,23238
Ginger-Automation/Ginger,2018-06-16 22:22:52+00:00,205855,41,C#,34,19,17,20,Apache-2.0,2020-01-12 21:23:10+00:00,91.0,17737.0,2026-06-16 01:51:51.767679,107,20716
GridProtectionAlliance/gsf,2015-08-14 23:05:31+00:00,217440,85,C#,44,9,38,27,MIT,2019-06-22 05:19:23+00:00,65.0,14835.0,2026-06-16 01:52:36.669174,66,13134
duplicati/duplicati,2014-08-05 08:28:16+00:00,96802,4471,C#,526,854,205,32,LGPL-2.1,2017-11-24 18:52:55+00:00,214.0,8964.0,2026-06-16 01:52:57.893238,243,14109
openrails/openrails,2018-01-15 20:35:15+00:00,738685,4,C#,10,3,2,1,GPL-3.0,2018-04-17 20:31:51+00:00,79.0,8085.0,2026-06-16 01:53:09.699976,87,9426
GitTools/GitVersion,2013-08-27 07:30:20+00:00,26497,1457,C#,447,122,69,142,MIT,2019-05-21 15:22:58+00:00,346.0,6517.0,2026-06-16 01:53:51.325425,374,7804
emgucv/emgucv,2017-01-04 19:23:13+00:00,238762,820,C#,308,155,83,0,GPL-3.0,2017-01-07 07:58:03+00:00,28.0,5538.0,2026-06-16 01:53:57.058511,29,5927
AutoMapper/AutoMapper,2010-02-06 15:17:58+00:00,72908,6781,C#,1463,10,399,130,MIT,2019-06-03 19:18:58+00:00,199.0,4213.0,2026-06-16 01:54:11.767257,204,4380
RicoSuter/NSwag,2015-09-02 19:11:57+00:00,52554,3089,C#,617,738,160,118,MIT,2019-07-05 17:19:06+00:00,295.0,4171.0,2026-06-16 01:54:19.534940,334,4310
Paymentsense/Dapper.SimpleSave,2015-07-21 10:58:05+00:00,51381,28,C#,7,14,9,10,MIT,2019-01-08 18:21:20+00:00,37.0,3953.0,2026-06-16 01:54:27.726406,37,3953
DSharpPlus/DSharpPlus,2016-09-02 17:51:34+00:00,13360,287,C#,72,15,22,35,MIT,2019-03-05 18:02:34+00:00,175.0,3835.0,2026-06-16 01:54:32.332231,207,4218
watson-developer-cloud/unity-sdk,2015-12-16 17:40:51+00:00,323997,406,C#,155,20,76,7,Apache-2.0,2017-03-23 16:16:42+00:00,32.0,3567.0,2026-06-16 01:54:36.166169,33,3568
SteeltoeOSS/steeltoe,2019-04-04 15:35:19+00:00,7730,123,C#,27,59,13,36,Apache-2.0,2019-10-24 10:13:16+00:00,77.0,3452.0,2026-06-16 01:54:52.666170,79,3836
