Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp,available,clone_date,developers_count,commit_count_after_introduction
salesforce-marketingcloud/FuelSDK-Java,2013-06-30 16:41:05+00:00,8199,32,Java,51,30,25,6,2017-11-24 19:13:50+00:00,True,2026-06-22 22:03:51.473213,21,420
warmshowers/wsandroid,2012-01-22 21:41:33+00:00,5485,27,Java,17,33,8,9,2018-01-19 11:50:04+00:00,True,2026-06-22 22:03:56.233003,17,622
arturmkrtchyan/iban4j,2013-09-03 19:59:23+00:00,266,114,Java,46,24,11,3,2016-07-18 11:53:56+00:00,True,2026-06-22 22:04:02.020221,35,214
mp911de/logstash-gelf,2013-09-26 12:57:31+00:00,1135,175,Java,39,5,19,12,2018-01-18 04:33:57+00:00,True,2026-06-22 22:04:26.634663,42,449
taycaldwell/riot-api-java,2013-12-21 06:54:41+00:00,4748,161,Java,71,16,35,9,2017-11-24 18:42:30+00:00,True,2026-06-22 22:04:44.392573,26,533
jenkinsci/http-request-plugin,2012-11-07 08:03:37+00:00,380,64,Java,80,4,138,17,2018-06-27 04:57:37+00:00,True,2026-06-22 22:04:46.420146,72,590
greese/dasein-cloud-google,2012-12-06 15:26:22+00:00,4797,6,Java,10,0,1,10,2018-06-04 21:51:09+00:00,True,2026-06-22 22:04:50.332615,13,1464
fluent/fluent-logger-java,2011-10-09 17:56:44+00:00,615,161,Java,75,25,23,15,2017-09-16 19:14:09+00:00,True,2026-06-22 22:04:59.327263,22,102
Captain-Chaos/WorldPainter,2013-07-04 14:55:59+00:00,34014,84,Java,19,27,8,1,2017-11-24 19:55:12+00:00,True,2026-06-22 22:05:10.565423,8,2491
aboutsip/pkts,2012-07-16 00:21:33+00:00,2225,109,Java,67,21,15,13,2018-07-10 11:46:27+00:00,True,2026-06-22 22:05:19.166126,28,278
eldur/jwbf,2012-05-21 17:45:33+00:00,6214,56,Java,21,19,12,8,2017-03-28 01:18:43+00:00,True,2026-06-22 22:05:34.746007,13,207
pentaho/pentaho-reporting,2013-01-08 18:41:44+00:00,88544,162,Java,262,7,87,66,2016-05-27 13:06:59+00:00,True,2026-06-22 22:05:51.117242,227,2216
cloudfoundry/cf-java-client,2011-09-21 23:22:33+00:00,58288,265,Java,261,33,92,47,2016-11-24 14:22:52+00:00,True,2026-06-22 22:05:58.489816,104,4464
