Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp,available,clone_date,developers_count,commit_count_after_introduction
editorconfig/editorconfig-core-js,2012-11-22 22:21:43+00:00,102,174,JavaScript,38,4,16,16,2019-03-06 17:56:37+00:00,True,2026-06-22 23:29:51.217533,26,174
Unitech/pm2-deploy,2014-06-16 12:23:26+00:00,75,131,JavaScript,60,81,6,20,2018-12-27 13:26:58+00:00,True,2026-06-22 23:30:28.111655,29,115
jhudson8/smocks,2015-06-09 17:23:57+00:00,2595,18,JavaScript,8,5,3,7,2017-06-13 15:14:02+00:00,True,2026-06-22 23:30:32.054019,7,236
louischatriot/nedb,2013-05-01 17:12:17+00:00,1555,10384,JavaScript,701,159,265,28,2019-09-14 10:06:53+00:00,True,2026-06-22 23:30:37.772533,31,170
razorpay/razorpay-node,2015-04-17 11:54:28+00:00,393,55,JavaScript,25,18,105,13,2019-08-12 10:09:56+00:00,True,2026-06-22 23:31:19.808242,38,454
odota/core,2014-08-30 02:11:35+00:00,30236,1192,JavaScript,278,60,70,43,2020-01-11 14:46:09+00:00,True,2026-06-22 23:31:39.039183,122,8346
yvesalexandre/bandicoot,2015-04-08 00:39:02+00:00,5342,165,JavaScript,44,7,26,6,2016-11-24 16:10:39+00:00,True,2026-06-22 23:31:41.490078,11,220
suitcss/preprocessor,2014-03-24 20:26:41+00:00,342,120,JavaScript,17,4,7,6,2017-04-18 20:11:16+00:00,True,2026-06-22 23:31:43.348146,7,181
marcelduran/webpagetest-api,2012-09-26 18:02:20+00:00,2879,1272,JavaScript,138,44,76,23,2017-10-16 20:17:34+00:00,True,2026-06-22 23:31:49.183873,56,207
stylus/stylus,2010-12-28 22:11:43+00:00,6602,10212,JavaScript,1105,252,375,179,2019-08-21 11:47:47+00:00,True,2026-06-22 23:31:51.637537,228,429
spatialillusions/milsymbol,2014-10-26 11:25:37+00:00,10598,174,JavaScript,46,13,34,8,2019-04-25 15:31:08+00:00,True,2026-06-22 23:32:03.900055,26,1313
tombatossals/angular-openlayers-directive,2013-11-29 20:03:53+00:00,16203,269,JavaScript,191,73,38,57,2018-03-08 20:36:14+00:00,True,2026-06-22 23:32:18.629301,70,185
watson-developer-cloud/personality-insights-nodejs,2015-02-19 00:10:59+00:00,8097,476,JavaScript,504,1,65,28,2019-10-01 15:34:31+00:00,True,2026-06-22 23:32:24.814262,35,383
watsonbox/exportify,2015-05-14 18:27:52+00:00,364,753,JavaScript,138,27,28,1,2017-11-24 18:30:56+00:00,True,2026-06-22 23:33:12.320890,14,173
metarhia/impress,2013-06-08 18:33:12+00:00,6100,508,JavaScript,65,50,42,27,2019-12-18 01:56:43+00:00,True,2026-06-22 23:33:26.250873,54,1753
gaganpreet/hn-hiring-mapped,2013-09-12 18:05:33+00:00,13993,41,JavaScript,13,3,3,0,2017-02-02 03:04:36+00:00,True,2026-06-22 23:33:43.737545,4,141
fvdm/nodejs-piwik,2012-05-27 17:57:48+00:00,155,34,JavaScript,19,0,1,4,2017-12-12 15:06:15+00:00,True,2026-06-22 23:33:56.877754,8,184
umakantp/jsmart,2013-12-10 12:08:53+00:00,1709,96,JavaScript,25,5,9,5,2018-03-19 09:39:12+00:00,True,2026-06-22 23:34:05.877111,11,156
jshttp/statuses,2014-03-13 01:20:40+00:00,73,150,JavaScript,12,2,8,5,2018-03-28 02:33:56+00:00,True,2026-06-22 23:34:14.317944,15,290
mclarkson/obdi,2014-08-20 07:42:35+00:00,17788,47,JavaScript,10,1,9,3,2016-05-27 17:29:49+00:00,True,2026-06-22 23:34:17.011629,4,180
Frontwise/grid-editor,2015-01-15 10:35:24+00:00,245,314,JavaScript,113,8,34,10,2016-11-24 16:37:16+00:00,True,2026-06-22 23:34:18.918931,11,107
projectatomic/dockerfile_lint,2014-10-06 17:34:25+00:00,213,229,JavaScript,51,23,27,26,2018-08-16 23:47:30+00:00,True,2026-06-22 23:34:23.100491,27,177
yeoman/environment,2014-09-29 06:02:18+00:00,2669,81,JavaScript,61,26,17,109,2019-12-15 10:09:21+00:00,True,2026-06-22 23:34:28.100550,137,981
standard/standard-engine,2015-03-28 07:09:51+00:00,524,102,JavaScript,32,4,11,46,2019-08-19 20:29:07+00:00,True,2026-06-22 23:34:38.715339,58,555
kwin-scripts/kwin-tiling,2013-08-07 21:27:04+00:00,529,412,JavaScript,41,32,25,3,2017-11-24 18:50:47+00:00,True,2026-06-22 23:34:42.384311,19,181
phase2/generator-gadget,2015-03-29 22:44:37+00:00,299,17,JavaScript,9,20,9,6,2017-10-12 21:11:00+00:00,True,2026-06-22 23:34:48.391361,11,244
