Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
microweber/microweber,2010-10-07 09:04:43+00:00,564163,1420,PHP,464,141,120,29,MIT,2019-11-14 04:47:56+00:00,70,
passbolt/passbolt_api,2016-02-23 01:14:59+00:00,118405,1207,PHP,119,24,71,366,AGPL-3.0,2019-11-14 04:55:27+00:00,550,
yiisoft/yii-core,2018-07-13 16:40:03+00:00,47388,320,PHP,70,75,76,364,BSD-3-Clause,2019-02-23 12:36:29+00:00,1104,
unaio/una,2013-04-08 02:18:20+00:00,238205,74,PHP,32,153,36,2,MIT,2017-11-24 19:03:42+00:00,15,
splitbrain/dokuwiki,2010-01-03 13:47:20+00:00,34953,2306,PHP,607,328,176,282,GPL-2.0,2016-11-24 16:23:17+00:00,1192,2208
FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23+00:00,17245,8411,PHP,1075,330,218,238,MIT,2019-11-14 04:17:24+00:00,391,4045
zendframework/zend-barcode,2015-05-08 13:27:50+00:00,4374,44,PHP,35,5,21,137,BSD-3-Clause,2019-09-21 10:16:52+00:00,178,
zendframework/zend-view,2015-05-08 13:28:16+00:00,6901,49,PHP,74,30,35,191,BSD-3-Clause,2019-11-14 05:15:28+00:00,267,
Codeception/Codeception,2011-11-30 04:06:44+00:00,71623,3938,PHP,1269,466,161,579,MIT,2019-12-21 16:32:51+00:00,827,945
zendframework/zend-i18n,2015-05-14 17:29:48+00:00,4581,66,PHP,50,12,21,157,BSD-3-Clause,2019-12-12 14:35:56+00:00,200,
NamelessMC/Nameless,2015-08-03 18:29:27+00:00,35202,189,PHP,160,53,39,5,MIT,2017-11-24 18:50:21+00:00,189,3773
collectiveaccess/pawtucket2,2013-06-19 14:16:41+00:00,254526,30,PHP,25,0,13,10,GPL-3.0,2017-11-24 19:26:34+00:00,40,
regardscitoyens/nosdeputes.fr,2016-12-07 16:32:27+00:00,32666,54,PHP,9,38,14,0,AGPL-3.0,2016-12-17 19:15:35+00:00,24,
wikimedia/mediawiki-extensions-CentralNotice,2012-11-01 19:03:34+00:00,7064,11,PHP,5,0,8,45,GPL-2.0,2017-11-24 21:28:46+00:00,169,
laravel-china/laravel-docs,2016-09-08 03:00:37+00:00,6450,229,PHP,365,5,30,0,MIT,2016-09-08 03:01:37+00:00,692,
Smile-SA/elasticsuite,2016-03-22 13:16:08+00:00,24939,514,PHP,209,78,46,50,OSL-3.0,2019-11-14 05:03:03+00:00,129,
torne/Tiny-Tiny-RSS,2010-04-11 11:56:00+00:00,85330,82,PHP,437,2,14,1,GPL-2.0,2017-11-24 19:26:16+00:00,4,
pixelhumain/co2,2017-02-20 09:18:46+00:00,303526,12,PHP,6,267,11,1,Apache-2.0,2017-02-20 09:19:09+00:00,12,
cakephp/phinx,2011-12-27 06:49:45+00:00,6602,3915,PHP,833,223,167,258,MIT,2019-12-25 00:16:31+00:00,377,
eduvpn/vpn-user-portal,2014-10-13 10:14:36+00:00,1989,7,PHP,8,10,2,2,AGPL-3.0,2016-08-09 21:08:01+00:00,23,1862
GravityPDF/gravity-pdf,2014-04-27 03:24:50+00:00,30035,54,PHP,10,25,5,2,GPL-2.0,2017-11-24 19:29:48+00:00,12,
TheCraigHewitt/Seriously-Simple-Podcasting,2012-12-04 07:13:23+00:00,11799,83,PHP,48,51,10,8,GPL-2.0,2017-11-24 19:04:08+00:00,50,
MinnPost/object-sync-for-salesforce,2016-06-16 13:46:10+00:00,14050,36,PHP,25,35,7,1,GPL-2.0,2016-06-17 21:07:59+00:00,20,
laravelio/portal,2013-09-17 12:57:48+00:00,12694,1461,PHP,408,20,106,42,MIT,2016-11-24 16:22:03+00:00,128,
ManiaControl/ManiaControl,2014-01-22 17:52:39+00:00,7604,13,PHP,6,28,9,12,GPL-3.0,2017-11-24 22:10:25+00:00,22,
Adyen/adyen-magento2,2015-07-16 06:59:20+00:00,3941,56,PHP,76,48,19,47,MIT,2019-11-14 02:56:58+00:00,138,
luyadev/luya-module-cms,2015-01-05 10:51:30+00:00,4932,25,PHP,36,41,14,37,MIT,2019-12-13 11:36:16+00:00,63,716
avored/laravel-ecommerce,2015-08-18 02:17:28+00:00,100823,832,PHP,325,19,95,29,MIT,2019-11-19 21:45:26+00:00,47,
jjrom/resto,2014-10-12 14:15:52+00:00,9845,24,PHP,13,12,7,4,Apache-2.0,2017-11-24 19:55:43+00:00,19,
MultinetInteractive/EduAdmin-WordPress,2016-08-18 14:37:08+00:00,3584,1,PHP,7,31,7,8,GPL-3.0,2019-11-22 09:45:13+00:00,15,
sonata-project/SonataBlockBundle,2012-02-10 17:02:25+00:00,1954,321,PHP,134,5,32,87,MIT,2019-12-30 20:56:48+00:00,107,729
WildPHP/irc-bot,2015-01-10 15:25:48+00:00,8241,60,PHP,20,4,14,17,MIT,2017-03-28 01:17:34+00:00,26,
symfony/messenger,2018-03-23 08:05:31+00:00,1201,414,PHP,52,0,35,61,MIT,2019-11-14 05:06:09+00:00,173,1212
concrete5-community-store/community_store,2016-02-20 11:13:54+00:00,1383,66,PHP,43,52,35,6,MIT,2016-08-09 21:38:09+00:00,38,
CAcertOrg/cacert-devel,2012-12-05 19:48:22+00:00,6129,9,PHP,13,2,5,7,GPL-2.0,2017-07-31 04:38:58+00:00,22,
Alsciende/netrunnerdb,2016-05-26 17:06:05+00:00,8373,58,PHP,27,64,13,0,MIT,2016-05-26 17:06:25+00:00,43,
getgrav/grav-plugin-form,2015-08-04 19:04:04+00:00,2046,39,PHP,72,63,14,16,MIT,2017-11-24 19:48:42+00:00,82,
WP-for-Church/Sermon-Manager,2017-03-04 07:34:17+00:00,3647,26,PHP,14,40,6,3,GPL-2.0,2017-03-08 06:59:45+00:00,23,
awethemes/awebooking,2017-04-21 10:53:10+00:00,6236,10,PHP,9,20,6,3,GPL-2.0,2017-06-27 04:23:20+00:00,10,
UniSharp/laravel-filemanager,2015-07-29 04:46:07+00:00,4268,1238,PHP,476,156,63,89,MIT,2019-05-06 04:33:02+00:00,170,
oscarotero/Embed,2012-10-09 21:14:58+00:00,1852,1503,PHP,216,19,81,41,MIT,2019-11-14 04:15:33+00:00,74,
