Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp,available,clone_date,developers_count,commit_count_after_introduction
gimite/google-spreadsheet-ruby,2008-12-24 05:17:42+00:00,616,290,Ruby,53,3,9,21,2017-04-17 11:06:34+00:00,True,2026-06-22 21:30:41.447299,24,179
jugend/amazon-ecs,2009-01-24 03:56:38+00:00,239,557,Ruby,102,3,22,16,2019-05-20 13:06:11+00:00,True,2026-06-22 21:30:43.333168,17,153
notahat/machinist,2008-10-06 11:43:46+00:00,2161,1139,Ruby,143,34,11,16,2017-04-21 15:39:39+00:00,True,2026-06-22 21:30:49.671389,21,209
radar/by_star,2008-11-24 01:46:47+00:00,456,845,Ruby,60,6,14,13,2016-11-24 15:41:41+00:00,True,2026-06-22 21:31:14.044590,23,440
rubygems/rubygems.org,2009-01-29 22:30:46+00:00,14034,1829,Ruby,765,103,99,326,2019-11-10 01:34:10+00:00,True,2026-06-22 21:31:19.832679,517,12376
socketry/multipart-post,2008-08-12 17:33:41+00:00,99,229,Ruby,60,15,9,26,2019-05-13 11:43:26+00:00,True,2026-06-22 21:31:21.976380,39,168
ci-reporter/ci_reporter,2008-03-01 22:38:26+00:00,546,335,Ruby,107,14,11,36,2017-04-21 15:26:36+00:00,True,2026-06-22 21:31:23.827395,47,312
infused/dbf,2008-05-02 06:44:06+00:00,844,210,Ruby,76,1,15,30,2019-02-22 19:15:54+00:00,True,2026-06-22 21:31:37.665373,35,774
paulcarey/relaxdb,2008-07-22 15:24:16+00:00,655,103,Ruby,9,0,2,5,2017-04-17 11:17:31+00:00,True,2026-06-22 21:31:41.693967,7,134
svenfuchs/rails-i18n,2008-07-31 13:07:53+00:00,2542,3521,Ruby,2585,43,89,436,2019-08-19 22:13:40+00:00,True,2026-06-22 21:31:51.060978,648,2306
iain/http_accept_language,2008-07-30 22:32:59+00:00,81,631,Ruby,141,7,32,22,2017-06-28 16:04:08+00:00,True,2026-06-22 21:31:54.846076,28,101
ari/jobsworth,2008-10-01 00:37:47+00:00,30308,602,Ruby,211,41,49,31,2017-11-24 18:32:06+00:00,True,2026-06-22 21:32:03.707807,53,6893
rgrove/thoth,2008-03-12 05:55:44+00:00,700,70,Ruby,8,0,2,2,2017-12-12 04:39:02+00:00,True,2026-06-22 21:32:09.333285,4,115
defunkt/github-gem,2008-02-28 09:35:34+00:00,673,1099,Ruby,191,61,29,39,2017-04-17 12:57:50+00:00,True,2026-06-22 21:32:13.046339,45,158
mbleigh/princely,2008-03-23 14:47:53+00:00,113,221,Ruby,93,6,6,22,2017-08-01 10:44:50+00:00,True,2026-06-22 21:32:14.888785,29,151
svenfuchs/routing-filter,2008-05-29 23:08:07+00:00,225,431,Ruby,72,16,13,23,2019-09-09 20:25:19+00:00,True,2026-06-22 21:32:18.584343,33,193
pboling/capistrano_mailer,2008-08-04 14:45:05+00:00,195,45,Ruby,27,3,5,12,2016-05-27 13:10:26+00:00,True,2026-06-22 21:32:22.253544,21,154
toy/dump,2008-08-14 11:33:34+00:00,643,87,Ruby,13,8,6,8,2019-07-14 20:09:10+00:00,True,2026-06-22 21:32:24.247376,11,598
xaviershay/enki,2008-04-11 23:54:11+00:00,12735,835,Ruby,303,1,19,25,2017-05-18 11:39:53+00:00,True,2026-06-22 21:32:30.471404,33,240
whomwah/rqrcode,2008-04-03 09:31:15+00:00,447,1167,Ruby,167,8,34,26,2019-11-07 10:14:01+00:00,True,2026-06-22 21:32:41.806448,46,337
ruby/spec,2009-01-15 08:19:09+00:00,18938,381,Ruby,330,5,56,320,2017-11-24 18:27:55+00:00,True,2026-06-22 21:32:57.930078,640,14246
topfunky/gruff,2008-03-11 22:06:00+00:00,119363,985,Ruby,195,76,32,35,2017-04-17 13:03:33+00:00,True,2026-06-22 21:33:40.048762,57,1025
datamapper/dm-core,2009-01-26 06:42:36+00:00,14912,781,Ruby,162,101,26,78,2017-04-17 12:03:08+00:00,True,2026-06-22 21:33:44.406592,107,1745
activescaffold/active_scaffold,2008-05-21 17:47:42+00:00,7560,983,Ruby,323,33,27,93,2019-07-10 12:15:29+00:00,True,2026-06-22 21:33:52.162097,154,5867
georgi/shinmun,2008-09-06 11:32:20+00:00,627,85,Ruby,11,1,3,2,2017-04-17 12:55:22+00:00,True,2026-06-22 21:33:58.142759,5,124
ActsAsParanoid/acts_as_paranoid,2008-03-04 04:48:18+00:00,395,1057,Ruby,173,36,21,61,2019-10-23 02:48:36+00:00,True,2026-06-22 21:34:03.163138,89,980
ryanb/ruby-warrior,2008-07-04 21:59:44+00:00,880,3589,Ruby,815,53,230,7,2016-11-24 15:46:08+00:00,True,2026-06-22 21:34:11.544785,13,139
kennethkalmer/daemon-kit,2009-01-07 14:13:11+00:00,1796,548,Ruby,62,9,14,20,2018-04-25 08:02:23+00:00,True,2026-06-22 21:34:13.438742,27,416
sevenwire/forgery,2008-02-06 22:33:31+00:00,472,773,Ruby,100,6,16,42,2017-12-12 19:50:37+00:00,True,2026-06-22 21:34:19.343599,52,252
ianwhite/resources_controller,2008-04-09 08:03:01+00:00,1311,81,Ruby,24,5,2,7,2016-05-27 15:14:27+00:00,True,2026-06-22 21:34:24.630622,12,145
matthooks/vimeo,2008-12-11 06:02:11+00:00,3770,324,Ruby,85,23,13,19,2017-04-04 14:17:44+00:00,True,2026-06-22 21:34:28.810224,28,156
ruby-git/ruby-git,2008-01-27 17:23:23+00:00,686,1336,Ruby,415,16,36,54,2018-08-10 07:59:07+00:00,True,2026-06-22 21:34:32.781953,119,1265
henrypoydar/chronic_duration,2009-01-11 21:00:44+00:00,385,313,Ruby,64,19,14,15,2017-04-17 10:14:50+00:00,True,2026-06-22 21:34:36.446745,18,109
gma/nesta,2008-11-27 00:57:49+00:00,695,906,Ruby,133,21,23,21,2017-04-17 14:45:36+00:00,True,2026-06-22 21:34:38.443888,29,778
osbridge/openconferenceware,2009-01-19 12:58:06+00:00,5394,254,Ruby,58,55,31,11,2017-11-24 18:38:19+00:00,True,2026-06-22 21:34:40.654434,13,1848
jeremyevans/fixture_dependencies,2008-04-07 21:36:19+00:00,108,35,Ruby,25,0,2,9,2017-04-17 12:43:06+00:00,True,2026-06-22 21:34:51.896509,16,137
nando/mundo-pepino,2008-12-04 21:27:00+00:00,1555,25,Ruby,5,9,5,4,2017-04-17 14:29:29+00:00,True,2026-06-22 21:34:55.642555,8,301
JackDanger/permanent_records,2008-03-04 19:30:54+00:00,1299,226,Ruby,60,16,12,21,2019-05-03 11:13:45+00:00,True,2026-06-22 21:34:57.866023,34,299
cpjolicoeur/cerberus,2008-12-21 18:50:58+00:00,2558,83,Ruby,16,1,2,10,2018-01-28 08:59:51+00:00,True,2026-06-22 21:35:07.326770,18,195
tapajos/highrise,2009-01-14 23:23:05+00:00,238,127,Ruby,78,12,4,24,2016-11-24 13:49:44+00:00,True,2026-06-22 21:35:09.187068,29,261
damog/feedbag,2008-12-16 01:41:59+00:00,70,103,Ruby,40,2,6,12,2019-01-13 12:14:35+00:00,True,2026-06-22 21:35:12.964241,14,122
camptocamp/puppet-iptables,2008-12-03 17:00:21+00:00,128,59,Ruby,28,0,21,12,2017-11-24 19:03:18+00:00,True,2026-06-22 21:35:14.815831,14,126
kete/tiny_mce,2008-07-13 21:00:01+00:00,4506,427,Ruby,77,2,7,12,2016-11-24 13:53:13+00:00,True,2026-06-22 21:35:18.936681,25,133
jscruggs/metric_fu,2008-09-12 02:21:57+00:00,3184,565,Ruby,244,2,5,30,2017-11-24 18:39:46+00:00,True,2026-06-22 21:35:20.913257,44,386
