Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits,clone_date,developers_count,commit_count_after_introduction
WikiEducationFoundation/WikiEduDashboard,2014-12-12 22:13:19+00:00,80175,186,Ruby,288,280,27,41,MIT,2017-01-07 13:14:08+00:00,240.0,17134.0,2026-06-16 01:11:14.630582,308,20030
samvera/hyrax,2016-11-29 23:09:59+00:00,209193,104,Ruby,97,441,70,135,Apache-2.0,2019-11-10 04:13:40+00:00,212.0,15824.0,2026-06-16 01:11:25.111877,228,16898
juntos-com-vc/juntos.com.vc,2014-10-23 18:43:07+00:00,51487,10,Ruby,6,0,14,40,MIT,2017-11-24 21:38:32+00:00,66.0,9713.0,2026-06-16 01:11:38.806876,66,9713
ontohub/ontohub,2012-03-06 22:05:27+00:00,20888,21,Ruby,7,360,13,14,AGPL-3.0,2017-03-07 05:40:21+00:00,24.0,6053.0,2026-06-16 01:11:43.552783,24,6053
cloudfoundry/ruby-buildpack,2013-01-24 19:22:06+00:00,65356,45,Ruby,161,4,92,67,Apache-2.0,2017-11-24 19:16:33+00:00,191.0,3816.0,2026-06-16 01:11:46.723784,203,3977
cyberark/conjur,2016-06-28 21:18:07+00:00,3629,145,Ruby,26,68,28,12,AGPL-3.0,2017-11-24 20:17:58+00:00,109.0,3449.0,2026-06-16 01:11:59.669246,137,4111
pivotal-cf/credhub-release,2016-04-29 00:23:48+00:00,11609,24,Ruby,26,7,53,17,Apache-2.0,2017-03-08 22:32:30+00:00,76.0,3136.0,2026-06-16 01:12:04.075447,82,3683
ronin-ruby/ronin-exploits,2010-01-30 02:28:59+00:00,4063,33,Ruby,10,15,8,1,GPL-3.0,2016-05-27 13:54:41+00:00,3.0,2861.0,2026-06-16 01:12:07.176566,4,2743
SUSE/hackweek,2013-02-27 13:38:52+00:00,93452,41,Ruby,41,23,45,10,MIT,2017-11-24 19:15:13+00:00,35.0,2612.0,2026-06-16 01:12:09.468663,37,3205
fuchsia-programming/fuchsia,2018-09-08 19:37:32+00:00,1594328,23,Ruby,10,35,7,4,GPL-3.0,2018-12-24 03:15:53+00:00,68.0,2433.0,2026-06-16 01:12:15.560310,71,3237
