,name_with_owner,insert url,delete url,replacement_msg,delete_msg,coding,insert commit,insert src file,insert src start pos,insert dst file,insert dst start pos,delete commit,delete src file,delete src start pos,delete dst file,delete dst start pos,insert src file content,insert dst file content,delete src file content
0,Vaeb_VaeBot,https://github.com/Vaeb/VaeBot/commit/cc96a86d57101bb604479e870ef2f21545173181,https://github.com/Vaeb/VaeBot/commit/f18ecc19fbcb57b3f10f1b99d295f1db04e20055,"Formatting change (for einstein)
","Changed to functions
",,cc96a86d57101bb604479e870ef2f21545173181,Util.js,"(441, 1)",Util.js,"(439, 1)",f18ecc19fbcb57b3f10f1b99d295f1db04e20055,Util.js,"(439, 22)",Util.js,,"exports.capitalize = function (strParam) {
    let str = strParam;
    str = String(str);
    return str.charAt(0).toUpperCase() + str.slice(1);
};","exports.capitalize = (strParam) => {
    let str = strParam;
    str = String(str);
    return str.charAt(0).toUpperCase() + str.slice(1);
};","(strParam) => {
    let str = strParam;
    str = String(str);
    return str.charAt(0).toUpperCase() + str.slice(1);
}"
1,RanvierMUD_ranviermud,https://github.com/RanvierMUD/ranviermud/commit/6e06527f8bed055b268f9a21a9d1762f247d6f2d,https://github.com/RanvierMUD/ranviermud/commit/5d1c4a99e08e5492fa481b9c72aa98af74b90357,"Trying to fix cleaver wielding, also put meetsPrereqs back into the Feats module as its own export.
","WHY ARE ALL OF THESE THINGS HAPPENING.
",,6e06527f8bed055b268f9a21a9d1762f247d6f2d,src/command_util.js,"(84, 3)",src/command_util.js,"(83, 3)",5d1c4a99e08e5492fa481b9c72aa98af74b90357,src/command_util.js,"(83, 5)",src/command_util.js,,"let thing = CommandUtil.parseDot(lookString, being.getInventory(),
    function(item) {
      return item.hasKeyword(this.keyword, being.getLocale());
    });","let thing = CommandUtil.parseDot(lookString, being.getInventory(),
    item => item.hasKeyword(this.keyword, being.getLocale())
    );","item => item.hasKeyword(this.keyword, being.getLocale())"
2,RanvierMUD_ranviermud,https://github.com/RanvierMUD/ranviermud/commit/36779ce96c558a9189496409fd22fd20666278fc,https://github.com/RanvierMUD/ranviermud/commit/9225f7ea44a13d866cc3e7122c6c3d798baf03e0,"Fix load function, improve organization of npc methods.
","Fix commands config.
",,36779ce96c558a9189496409fd22fd20666278fc,src/npcs.js,"(216, 3)",src/npcs.js,"(226, 3)",9225f7ea44a13d866cc3e7122c6c3d798baf03e0,src/npcs.js,"(256, 21)",src/npcs.js,,"self.getEffects = function (aff) {
    if (aff) {
      return typeof self.effects[aff] !== 'undefined' ? self.effects[aff] : false;
    }
    return self.effects;
  };","self.getEffects = eff => {
    if (eff) {
      return self.effects[eff] ?
        self.effects[eff] : false;
    }
    return self.effects;
  };","eff => {
    if (eff) {
      return self.effects[eff] ?
        self.effects[eff] : false;
    }
    return self.effects;
  }"
3,alphasp_pxview,https://github.com/alphasp/pxview/commit/da6612babeb871db07446b360448299fb29aa7b8,https://github.com/alphasp/pxview/commit/0fc0942ecae1581c32ba926f912e1971506dd3a4,"converting react-navigation in progress
","clean up
",,da6612babeb871db07446b360448299fb29aa7b8,src/containers/Search.js,"(93, 11)",src/containers/Search.js,"(162, 11)",0fc0942ecae1581c32ba926f912e1971506dd3a4,src/containers/Search.js,"(161, 22)",src/containers/Search.js,,"Actions.searchResult({ word: word, type: ActionConst.REPLACE });","setTimeout(() => navigate('SearchResult', { word }), 0)","() => navigate('SearchResult', { word })"
4,winstonjs_winston,https://github.com/winstonjs/winston/commit/852337e51f0df03fec85f955aa6b4e9833b3bd00,https://github.com/winstonjs/winston/commit/e61f84425204ed5788cfe17d96e19c855bb8b199,"[refactor] Move code base to es6 and setup for api documentation.

@indexzero might be interested in this.
","Change arrow functions to normal functions to support ES5 with transpiling.
",,852337e51f0df03fec85f955aa6b4e9833b3bd00,lib/winston/transports/file.js,"(381, 3)",lib/winston/transports/file.js,"(379, 5)",e61f84425204ed5788cfe17d96e19c855bb8b199,lib/winston/transports/file.js,"(368, 20)",lib/winston/transports/file.js,,"this._stream.end(function () {
    // eslint-disable-next-line callback-return
    if (cb) cb();
    self.emit('flush');
    self.emit('closed');
  });","this._stream.end(() => {
      if (cb) {
        cb(); // eslint-disable-line callback-return
      }
      this.emit('flush');
      this.emit('closed');
    });","() => {
    if (cb) cb();
    this.emit('flush');
    this.emit('closed');
  }"
5,winstonjs_winston,https://github.com/winstonjs/winston/commit/852337e51f0df03fec85f955aa6b4e9833b3bd00,https://github.com/winstonjs/winston/commit/e61f84425204ed5788cfe17d96e19c855bb8b199,"[refactor] Move code base to es6 and setup for api documentation.

@indexzero might be interested in this.
","Change arrow functions to normal functions to support ES5 with transpiling.
",,852337e51f0df03fec85f955aa6b4e9833b3bd00,lib/winston/transports/file.js,"(361, 7)",lib/winston/transports/file.js,"(359, 9)",e61f84425204ed5788cfe17d96e19c855bb8b199,lib/winston/transports/file.js,"(348, 28)",lib/winston/transports/file.js,,return self._incFile(function () { self.stat(callback); });,return this._incFile(() => this.stat(callback));,() => this.stat(callback)
6,MaslowCNC_Maslow-Create,https://github.com/MaslowCNC/Maslow-Create/commit/d67baac58420d2f62144cfd0478bac3770356b03,https://github.com/MaslowCNC/Maslow-Create/commit/c105901b99bfb4e86d526d3bd6af16392641d9a7,"Shrinkwrap works but for 3D shapes now
","Shrinkwrap working 3d but only in test
",,d67baac58420d2f62144cfd0478bac3770356b03,src/js/molecules/shrinkwrap.js,"(30, 9)",src/js/molecules/shrinkwrap.js,"(30, 9)",c105901b99bfb4e86d526d3bd6af16392641d9a7,src/js/molecules/shrinkwrap.js,"(36, 31)",src/js/molecules/shrinkwrap.js,,"this.codeBlock = GlobalVariables.api.hull(GlobalVariables.api.cube().translate([4,4,1]), GlobalVariables.api.sphere());","this.children.forEach( io => {
            if(io.connectors.length > 0){
                inputs.push(io.getValue());
            }
        });","io => {
            if(io.type == ""input""){
                if(numberOfElements > 0){
                    arrayOfChildrenString = arrayOfChildrenString + "", "";
                }
                numberOfElements += 1;
                arrayOfChildrenString = arrayOfChildrenString + io.getValue();
            }
        }"
7,marcelklehr_floccus,https://github.com/marcelklehr/floccus/commit/d1b0d5cd46eca982beaa3879b71defa1c7f8604b,https://github.com/marcelklehr/floccus/commit/9ddbb1673339006d7148f223539f6a2332a3f2be,"Introduce typescript typings
","Build: Speed up webpack recompile
",,d1b0d5cd46eca982beaa3879b71defa1c7f8604b,gulpfile.js,"(129, 3)",gulpfile.js,"(129, 3)",9ddbb1673339006d7148f223539f6a2332a3f2be,gulpfile.js,"(61, 24)",gulpfile.js,,"webpack(devConfig).watch({}, console.log)","webpack(devConfig).watch({}, (err, stats) => {
    if (err) {
      console.log(err)
    }
    console.log(stats.toString({
      chunks: false,
      colors: true
    }))
  })","(err, stats) => {
      if (err) console.log('Webpack', err)

      console.log(
        stats.toString({
          /* stats options */
        })
      )

      resolve()
    }"
8,Vaeb_VaeBot,https://github.com/Vaeb/VaeBot/commit/cc96a86d57101bb604479e870ef2f21545173181,https://github.com/Vaeb/VaeBot/commit/f18ecc19fbcb57b3f10f1b99d295f1db04e20055,"Formatting change (for einstein)
","Changed to functions
",,cc96a86d57101bb604479e870ef2f21545173181,Util.js,"(1185, 1)",Util.js,"(1183, 1)",f18ecc19fbcb57b3f10f1b99d295f1db04e20055,Util.js,"(1184, 17)",Util.js,,"exports.write = function (content, name) {
    FileSys.writeFile(name, content);
};","exports.write = (content, name) => {
    FileSys.writeFile(name, content);
};","(content, name) => {
    FileSys.writeFile(name, content);
}"
9,Vaeb_VaeBot,https://github.com/Vaeb/VaeBot/commit/cc96a86d57101bb604479e870ef2f21545173181,https://github.com/Vaeb/VaeBot/commit/f18ecc19fbcb57b3f10f1b99d295f1db04e20055,"Formatting change (for einstein)
","Changed to functions
",,cc96a86d57101bb604479e870ef2f21545173181,Util.js,"(894, 1)",Util.js,"(892, 1)",f18ecc19fbcb57b3f10f1b99d295f1db04e20055,Util.js,"(893, 21)",Util.js,,"exports.getAvatar = function (user, outStr) {
    if (user != null && exports.isObject(user)) {
        return (user.displayAvatarURL || (user.user ? user.user.displayAvatarURL : null));
    }
    return (outStr === true ? 'null' : null);
};","exports.getAvatar = (user, outStr) => {
    if (user != null && exports.isObject(user)) {
        return (user.displayAvatarURL || (user.user ? user.user.displayAvatarURL : null));
    }
    return (outStr === true ? 'null' : null);
};","(user, outStr) => {
    if (user != null && exports.isObject(user)) {
        return (user.displayAvatarURL || (user.user ? user.user.displayAvatarURL : null));
    }
    return (outStr === true ? 'null' : null);
}"
