,name_with_owner,insert url,delete url,replacement_msg,delete_msg,coding,insert commit,insert src file,insert src start pos,insert dst file,insert dst start pos,delete commit,delete src file,delete src start pos,delete dst file,delete dst start pos,insert src file content,insert dst file content,delete src file content
0,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,https://github.com/mephux/ruby-nessus/commit/d4cca11ccbb29964d24caeabd0791faa161b0929,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,spec/ruby-nessus/parse_spec.rb,"(6, 5)",spec/ruby-nessus/parse_spec.rb,"(6, 5)",d4cca11ccbb29964d24caeabd0791faa161b0929,spec/ruby-nessus/parse_spec.rb,"(6, 5)",spec/ruby-nessus/parse_spec.rb,,lambda { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) },-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) }.should_not raise_error,-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) }
1,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,https://github.com/mephux/ruby-nessus/commit/964116a4e61ff5f4ff2272ed7d84b3b5cd078813,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,spec/ruby-nessus/parse_spec.rb,"(10, 5)",spec/ruby-nessus/parse_spec.rb,"(10, 5)",964116a4e61ff5f4ff2272ed7d84b3b5cd078813,spec/ruby-nessus/parse_spec.rb,"(10, 5)",spec/ruby-nessus/parse_spec.rb,,lambda { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V2_PATH) },-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V2_PATH) }.should_not raise_error,-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V2_PATH) }
2,ontohub_ontohub,https://github.com/ontohub/ontohub/commit/3dc4e9663ede590ca9b2d7bfafd81a13ea21cdb2,https://github.com/ontohub/ontohub/commit/5f289ede8e14ace0747ffb53e40cca9cd5df7605,"Some refactoring (especially of the OntologySearch class).
","Conflict fix after merge
",,3dc4e9663ede590ca9b2d7bfafd81a13ea21cdb2,lib/ontology_search.rb,"(28, 13)",lib/ontology_search.rb,"(150, 5)",5f289ede8e14ace0747ffb53e40cca9cd5df7605,lib/ontology_search.rb,"(164, 7)",lib/ontology_search.rb,,"OntologyType.select([:name, :id]).order(:name).all.map {|type| {""name"" => type.name.sub(/Ontology/, ""ontologies""), ""value"" => type.id.to_s} }","model_to_filters_map OntologyType,
      ->(x) {x.name.sub(/Ontology/, 'ontologies')}","->(x) {x.name.sub(/Ontology/, 'ontologies')}"
3,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/b7d74dbce2f626e14b4e2a75bfb607204914620a,https://github.com/mephux/ruby-nessus/commit/964116a4e61ff5f4ff2272ed7d84b3b5cd078813,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,b7d74dbce2f626e14b4e2a75bfb607204914620a,spec/ruby-nessus/parse_spec.rb,"(20, 5)",spec/ruby-nessus/parse_spec.rb,"(20, 5)",964116a4e61ff5f4ff2272ed7d84b3b5cd078813,spec/ruby-nessus/parse_spec.rb,"(20, 5)",spec/ruby-nessus/parse_spec.rb,,"lambda { RubyNessus::Parse.new(nil, options) }","-> { RubyNessus::Parse.new(nil, options) }.should_not raise_error","-> { RubyNessus::Parse.new(nil, options) }"
4,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/b7d74dbce2f626e14b4e2a75bfb607204914620a,https://github.com/mephux/ruby-nessus/commit/964116a4e61ff5f4ff2272ed7d84b3b5cd078813,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,b7d74dbce2f626e14b4e2a75bfb607204914620a,spec/ruby-nessus/parse_spec.rb,"(6, 5)",spec/ruby-nessus/parse_spec.rb,"(6, 5)",964116a4e61ff5f4ff2272ed7d84b3b5cd078813,spec/ruby-nessus/parse_spec.rb,"(6, 5)",spec/ruby-nessus/parse_spec.rb,,lambda { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) },-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) }.should_not raise_error,-> { RubyNessus::Parse.new(Helpers::DOT_NESSUS_V1_PATH) }
5,ddnexus_pagy,https://github.com/ddnexus/pagy/commit/aea25a1408e98805fc17400cb2276628b71f46f8,https://github.com/ddnexus/pagy/commit/a546c43afcfb42b8ef87159b96905b8d0f78c9f9,"code-restyling: test
","internal refactoring of i18n
",,aea25a1408e98805fc17400cb2276628b71f46f8,test/pagy/frontend_test.rb,"(119, 7)",test/pagy/frontend_test.rb,"(120, 7)",a546c43afcfb42b8ef87159b96905b8d0f78c9f9,test/pagy/frontend_test.rb,"(104, 56)",test/pagy/frontend_test.rb,,Pagy::I18n['en'][0]['pagy.info.product.one']   = lambda{|_| 'Product'},Pagy::I18n['en'][0]['pagy.info.product.one']   = ->(_){ 'Product'},->(_) { 'Product' }
6,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/b7d74dbce2f626e14b4e2a75bfb607204914620a,https://github.com/mephux/ruby-nessus/commit/d4cca11ccbb29964d24caeabd0791faa161b0929,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,b7d74dbce2f626e14b4e2a75bfb607204914620a,spec/ruby-nessus/parse_spec.rb,"(20, 5)",spec/ruby-nessus/parse_spec.rb,"(20, 5)",d4cca11ccbb29964d24caeabd0791faa161b0929,spec/ruby-nessus/parse_spec.rb,"(20, 5)",spec/ruby-nessus/parse_spec.rb,,"lambda { RubyNessus::Parse.new(nil, options) }","-> { RubyNessus::Parse.new(nil, options) }.should_not raise_error","-> { RubyNessus::Parse.new(nil, options) }"
7,sous-chefs_nagios,https://github.com/sous-chefs/nagios/commit/34e2767f7f7665b852077bbeefdc67362ae717c1,https://github.com/sous-chefs/nagios/commit/06591fa3ccaeca923ed5a31432ccde0f249a630e,"Update to latest test kitchen, add berkshelf, fix FC/rubocop warnings,
avoid bogus FC warnings on travis
","Fixes per Seth's comments
",,34e2767f7f7665b852077bbeefdc67362ae717c1,spec/client_spec.rb,"(21, 5)",spec/client_spec.rb,"(21, 5)",06591fa3ccaeca923ed5a31432ccde0f249a630e,spec/client_spec.rb,"(21, 5)",spec/client_spec.rb,,lambda { chef_run },-> { chef_run }.should_not raise_error,-> { chef_run }
8,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/b7d74dbce2f626e14b4e2a75bfb607204914620a,https://github.com/mephux/ruby-nessus/commit/964116a4e61ff5f4ff2272ed7d84b3b5cd078813,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,b7d74dbce2f626e14b4e2a75bfb607204914620a,spec/ruby-nessus/parse_spec.rb,"(15, 5)",spec/ruby-nessus/parse_spec.rb,"(15, 5)",964116a4e61ff5f4ff2272ed7d84b3b5cd078813,spec/ruby-nessus/parse_spec.rb,"(15, 5)",spec/ruby-nessus/parse_spec.rb,,"lambda { RubyNessus::Parse.new(nil, options) }","-> { RubyNessus::Parse.new(nil, options) }.should_not raise_error","-> { RubyNessus::Parse.new(nil, options) }"
9,mephux_ruby-nessus,https://github.com/mephux/ruby-nessus/commit/f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,https://github.com/mephux/ruby-nessus/commit/964116a4e61ff5f4ff2272ed7d84b3b5cd078813,"Rubocop coding style

Signed-off-by: Florian Wininger <fw.centrale@gmail.com>
","Add tests

Signed-off-by: Alex Lecoq <hezanathos@gmail.fr>
",,f0af6aad085ae3d43a6ac0b43803f80c41f8d6a3,spec/ruby-nessus/parse_spec.rb,"(15, 5)",spec/ruby-nessus/parse_spec.rb,"(15, 5)",964116a4e61ff5f4ff2272ed7d84b3b5cd078813,spec/ruby-nessus/parse_spec.rb,"(15, 5)",spec/ruby-nessus/parse_spec.rb,,"lambda { RubyNessus::Parse.new(nil, options) }","-> { RubyNessus::Parse.new(nil, options) }.should_not raise_error","-> { RubyNessus::Parse.new(nil, options) }"
