insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
097f0e6a65fd18dba2e375f29982ecd2c3908385,lib/Driver/Compilation.cpp,3216,3362,a4a6b426047344b9b6af8936fbcd901c01bbdfe0,lib/Driver/Compilation.cpp,4100,4425
63dc900f91498a439738dee6de58e55629c01fd0,lib/Sema/TypeCheckConstraints.cpp,16104,16572,bfbc6142c16b26c9839f8c5da3e329f1a06ea652,lib/Sema/TypeCheckConstraints.cpp,30309,30506
33589550426da58467a6f7bd6e2b9e3051daf6ef,lib/SILGen/SILGenPattern.cpp,40046,40183,f40e9ef0aec626fed0214ae372e1b55d5247481d,lib/SILGen/SILGenPattern.cpp,50696,50791
8f1c2d1e795a1989bee66432e4325eb2b7f48a97,lib/Sema/CSGen.cpp,35247,35930,953c93d936067f50c5f34fc3c2e84530ab4b4946,lib/Sema/CSGen.cpp,32479,33546
651f858dbbaf69483b7bda991a0596c95348602a,lib/Sema/ConstraintGraph.cpp,3219,3490,4c04ced93971b726d0d15a6c4f3262272c536e7d,lib/Sema/ConstraintGraph.cpp,19637,20004
651f858dbbaf69483b7bda991a0596c95348602a,lib/Sema/ConstraintGraph.cpp,3219,3490,25ad700fb008abdc1400e67266234a3c8b0e8ba7,lib/Sema/ConstraintGraph.cpp,21290,21382
1ddb34fb71f254f654f28a37d0733d14856290ac,lib/Sema/TypeCheckType.cpp,42646,44175,eb1689710f3694bcec4010aa79ef557a38d8f379,lib/Sema/TypeCheckType.cpp,28127,29888
1ddb34fb71f254f654f28a37d0733d14856290ac,lib/Sema/TypeCheckType.cpp,42646,44175,da7bb5ba36f71c5e9b2c43a19d17790cbafe8454,lib/Sema/TypeCheckType.cpp,32449,34347
7c3f911ba3e2bfa31153042c1c2af983d6804603,lib/SIL/TypeLowering.cpp,47234,47701,7f22faf968db41add699c87991ea14b3683a8b99,lib/SIL/TypeLowering.cpp,57797,58319
acce3767db1ce2c5922c25a5c85ad0a29981c3b3,lib/Sema/NameBinding.cpp,4831,4958,d3b31b8b724b533d953c7cc6568122ea29fc22b2,lib/Sema/NameBinding.cpp,7333,7402
54f8cdeb32984f7ae93cf42279b4361572c735bb,lib/Parse/ParseExpr.cpp,36985,37764,22652f9e88bed20813d461e8aade3dd383ff858e,lib/Parse/ParseExpr.cpp,126925,127383
