insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
88cf43523e3fdc20cff19de113df321d4a8c5b0e,libraries/chain/protocol/block.cpp,3170,3681,9278694a84d859406d5c0f13c02a8508f5750db0,libraries/chain/protocol/block.cpp,3285,3634
fbc0a1db11e8bd5de4dbff6317b681bf565a562c,plugins/net_plugin/net_plugin.cpp,32268,32351,b7979782f91b91dec9fe8db94949563226b45eb8,plugins/net_plugin/net_plugin.cpp,49249,49294
39d399ec5dd5ea1981df58aa0dfd71ac98176068,programs/cleos/main.cpp,48161,48950,c65ace9472a08cd895575336e8c07c0bc9bd1f85,programs/cleos/main.cpp,166293,166548
0a95f98c3ca94dacce8bfa487b74d749fd6aaee1,plugins/net_plugin/net_plugin.cpp,71649,72066,ab5a271b1aa20f42363c90d2215345ddf65e8b53,plugins/net_plugin/net_plugin.cpp,72065,72287
0a95f98c3ca94dacce8bfa487b74d749fd6aaee1,plugins/net_plugin/net_plugin.cpp,71649,72066,ae6142aca837cf39a8da19e5dde3f0711d3fa217,plugins/net_plugin/net_plugin.cpp,72065,72287
ab5a271b1aa20f42363c90d2215345ddf65e8b53,plugins/net_plugin/net_plugin.cpp,74076,76610,e3f3b5dc52effdf2f1b35a0cbd970257095e6347,plugins/net_plugin/net_plugin.cpp,68809,70796
ab5a271b1aa20f42363c90d2215345ddf65e8b53,plugins/net_plugin/net_plugin.cpp,74076,76610,0e11bbf6e2a6bcc690cc4a70c1fdb5bad58cc3e9,plugins/net_plugin/net_plugin.cpp,72391,74400
4a588b479f292c0b29ecc41f1679f914326f4174,plugins/producer_plugin/producer_plugin.cpp,15537,15792,7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,17632,17658
4a588b479f292c0b29ecc41f1679f914326f4174,plugins/producer_plugin/producer_plugin.cpp,14889,15525,7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,17511,17573
cf6e9ca9685b1ec60c296af5fb87f141d1f27267,plugins/producer_plugin/producer_plugin.cpp,15537,15792,7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,17632,17658
cf6e9ca9685b1ec60c296af5fb87f141d1f27267,plugins/producer_plugin/producer_plugin.cpp,14889,15525,7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,17511,17573
7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,17853,18032,08734296405ceb6db07fe02c94930d9285fa9a8c,plugins/producer_plugin/producer_plugin.cpp,18026,18082
