insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
28294b974369d7f831285b2fb701ded2a3b165b7,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,27040,27133,ef4949f6c9e77e009a8ab6db1f3e2569e2fa4573,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,29815,29840
28294b974369d7f831285b2fb701ded2a3b165b7,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,26853,26944,ef4949f6c9e77e009a8ab6db1f3e2569e2fa4573,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,29610,29635
556f099d33323e48da822963f2e0475d159c81be,DSharpPlus/Clients/DiscordClient.WebSocket.cs,18383,18548,f4cc9e0533b7c5e60cb6ee33a5c3015e8bdc8f83,DSharpPlus/Clients/DiscordClient.WebSocket.cs,18266,18338
28294b974369d7f831285b2fb701ded2a3b165b7,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,26672,26760,ef4949f6c9e77e009a8ab6db1f3e2569e2fa4573,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,29410,29435
28294b974369d7f831285b2fb701ded2a3b165b7,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,26490,26576,ef4949f6c9e77e009a8ab6db1f3e2569e2fa4573,DSharpPlus/Entities/AuditLogs/AuditLogParser.cs,29210,29235
3afe74384a6801a046ab79149534f808e2de0e0e,DiscordSharp/DiscordClient.cs,45612,45698,fb117ca673532db5325fccb1e65d64cada66fc3f,DiscordSharp/DiscordClient.cs,73650,73694
3afe74384a6801a046ab79149534f808e2de0e0e,DiscordSharp/DiscordClient.cs,12704,12779,fb117ca673532db5325fccb1e65d64cada66fc3f,DiscordSharp/DiscordClient.cs,17058,17095
d11d977a3a4b23d54b16eeb65b94d362cdbab564,DSharpPlus.VoiceNext/VoiceNextConnection.cs,4391,4458,b274e6018042dea789e4972693b8e85f47d3cd94,DSharpPlus.VoiceNext/VoiceNextConnection.cs,7506,7601
0dc4b0be47c52ad16fef34022612407f868ecaa9,DSharpPlus.VoiceNext/VoiceNextConnection.cs,4391,4458,b274e6018042dea789e4972693b8e85f47d3cd94,DSharpPlus.VoiceNext/VoiceNextConnection.cs,7506,7601
b274e6018042dea789e4972693b8e85f47d3cd94,DSharpPlus.Rest/DiscordRestClient.cs,824,950,6013b362d8813b306d2a63b90ceec334e59fa405,DSharpPlus.Rest/DiscordRestClient.cs,1048,1111
309441cce2e87c120434eb12966804ffce6b8827,DSharpPlus/DiscordClient.cs,88962,89095,cb1fb16559c86a86e569715ac36512c10a107cd9,DSharpPlus/DiscordClient.cs,90556,90635
