insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
da41a35e914872925f31c4ea34556bd5173f03fc,Ginger/Ginger/ApplicationModelsLib/POMModels/POMWizardLib/DeltaWizard/PomDeltaElementCompareWizardPage.xaml.cs,2007,2065,0cc389b7d3242dac01096f7330d46f87419b15bb,Ginger/Ginger/ApplicationModelsLib/POMModels/POMWizardLib/DeltaWizard/PomDeltaElementCompareWizardPage.xaml.cs,2628,2669
09d28f2662e1488ff60ab26c6286aa55d1708e70,Ginger/Ginger/Repository/RepositoryItemFactory.cs,18145,18303,f046ee20e4c5e8ec4b254555b0ad9edc607005e8,Ginger/Ginger/Repository/RepositoryItemFactory.cs,18207,18342
a57b53c679f1e45638a6fec2dfff664fc71ed1b9,Ginger/Ginger/AutomatePageLib/AddActionMenu/SharedRepositoryLib/RepositoryItemUsagePage.xaml.cs,17637,17757,9b801948ee394f20efa5725bcbdab165622e98f6,Ginger/Ginger/AutomatePageLib/AddActionMenu/SharedRepositoryLib/RepositoryItemUsagePage.xaml.cs,17757,17866
a57b53c679f1e45638a6fec2dfff664fc71ed1b9,Ginger/Ginger/AutomatePageLib/AddActionMenu/SharedRepositoryLib/RepositoryItemUsagePage.xaml.cs,17274,17390,9b801948ee394f20efa5725bcbdab165622e98f6,Ginger/Ginger/AutomatePageLib/AddActionMenu/SharedRepositoryLib/RepositoryItemUsagePage.xaml.cs,17394,17485
73d224f3f1c761998085545b9d0973895bac3874,Ginger/GingerCore/Drivers/JavaDriverLib/JavaDriver.cs,106913,106971,51a877a866496dac2085c264f4ff3754a921b525,Ginger/GingerCore/Drivers/JavaDriverLib/JavaDriver.cs,115469,115496
b3901ca01150b9c5e333989eab999d2a71c73af6,Ginger/GingerCore/GeneralLib/General.cs,16302,16656,71c805dce882c1ce7e165b5fedcca33d740f92a7,Ginger/GingerCore/GeneralLib/General.cs,17130,17156
b3901ca01150b9c5e333989eab999d2a71c73af6,Ginger/GingerCore/GeneralLib/General.cs,15864,16210,71c805dce882c1ce7e165b5fedcca33d740f92a7,Ginger/GingerCore/GeneralLib/General.cs,16689,16715
b3901ca01150b9c5e333989eab999d2a71c73af6,Ginger/GingerCore/GeneralLib/General.cs,15428,15776,71c805dce882c1ce7e165b5fedcca33d740f92a7,Ginger/GingerCore/GeneralLib/General.cs,16260,16285
b3901ca01150b9c5e333989eab999d2a71c73af6,Ginger/GingerCore/GeneralLib/General.cs,14992,15335,71c805dce882c1ce7e165b5fedcca33d740f92a7,Ginger/GingerCore/GeneralLib/General.cs,15819,15845
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,8823,8871,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,9431,9468
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,8182,8222,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,8790,8819
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,7572,7635,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,8180,8232
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,6798,6852,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,7406,7449
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,6183,6225,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,6791,6822
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,5501,5545,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,6109,6142
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,4891,4941,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,5499,5538
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,4139,4191,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,4747,4788
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,3555,3602,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,4163,4199
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,2800,2849,79a02f5bfbdc412bf3872a44306b5d3876b855b3,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,3408,3446
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,2139,2207,bc0844c1f6599634159e4836505ba1a13e790923,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,2754,2811
58eaea8958fe9336d1c1be586932b7785c4735dd,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,1621,1695,bc0844c1f6599634159e4836505ba1a13e790923,Ginger/GingerCoreNET/Run/RunListenerLib/CenteralizedExecutionLogger/AccountReportExecutionLogger.cs,2236,2299
ffbc3f38932b3555edaf8e8b228e502c3252ee5d,Ginger/Ginger/UserControlsLib/UCTreeView/UCTreeView.xaml.cs,9359,9403,48f991cf0d10879000ec1789bac0d94757abca76,Ginger/Ginger/UserControlsLib/UCTreeView/UCTreeView.xaml.cs,9389,9413
ffbc3f38932b3555edaf8e8b228e502c3252ee5d,Ginger/Ginger/UserControlsLib/UCTreeView/UCTreeView.xaml.cs,9563,9607,48f991cf0d10879000ec1789bac0d94757abca76,Ginger/Ginger/UserControlsLib/UCTreeView/UCTreeView.xaml.cs,9593,9617
f89f4af6486c82614bda594e7aa7f731b4442b4d,Ginger/GingerCoreNET/Run/GingerExecutionEngine.cs,222567,222658,241951494b4763d81981cd6918c019e3f8ef3159,Ginger/GingerCoreNET/Run/GingerExecutionEngine.cs,223025,223064
f89f4af6486c82614bda594e7aa7f731b4442b4d,Ginger/GingerCoreNET/Run/GingerExecutionEngine.cs,224956,225646,241951494b4763d81981cd6918c019e3f8ef3159,Ginger/GingerCoreNET/Run/GingerExecutionEngine.cs,225405,225430
1520e4b04ca9c1b43202f3d2f25bd3c179aed7f8,Ginger/GingerCoreNET/Run/RunsetExecutor.cs,44552,44676,069aa09f230b9c0987ec3fce30d2bfa258fd8ae2,Ginger/GingerCoreNET/Run/RunsetExecutor.cs,44513,44565
