insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
75c60a722ba4e030c27fa3693c6e0c645174345d,Source/OldCode/TVACodeLibrary/Source/Libraries/TVA.Communication/UdpServer.cs,44343,44400,7044e68b45a3c96bc03b3fc212282fcec4fc6432,Source/OldCode/TVACodeLibrary/Source/Libraries/TVA.Communication/UdpServer.cs,44501,44527
75c60a722ba4e030c27fa3693c6e0c645174345d,Source/OldCode/TVACodeLibrary/Source/Libraries/TVA.Communication/TcpServer.cs,46930,46987,7044e68b45a3c96bc03b3fc212282fcec4fc6432,Source/OldCode/TVACodeLibrary/Source/Libraries/TVA.Communication/TcpServer.cs,47046,47072
3783acf60271032cbe93c147ec9f874ea9fa256d,Source/Libraries/GSF.TimeSeries/Transport/UnsynchronizedClientSubscription.cs,4422,4503,57050f95af691f0b31bd63fc20a06aeed73f10a4,Source/Libraries/GSF.TimeSeries/Transport/UnsynchronizedClientSubscription.cs,5085,5425
3452a0eef858e1239b9b2a02ce154282d8ec0a6c,Source-TimeSeriesEntity/Libraries/GSF.TimeSeries/Routing/RoutingTables.cs,22375,22479,2ddea78691491445d742ef7906df017daec2ff2b,Source-TimeSeriesEntity/Libraries/GSF.TimeSeries/Routing/RoutingTables.cs,22520,22554
8fa4fed2b0bb073229e9593355ae5b04a22bb1f8,Source/Libraries/GSF.TimeSeries/Adapters/RoutingTables.cs,7415,7587,a461dac99e15ecb593e33bfa24184cde5819089b,Source/Libraries/GSF.TimeSeries/Adapters/RoutingTables.cs,7484,7582
8cba804009a7d7d37c49bd76dbca104ae471f5a9,Source/Libraries/Adapters/PIAdapters/PIOutputAdapter.cs,35229,35331,fcee77b947dafd139d3446436f3b8c9ca5ea158b,Source/Libraries/Adapters/PIAdapters/PIOutputAdapter.cs,45258,45329
afe26593fae393c28e0649bbb5c9eb6d59cc6bb7,Source/Libraries/Adapters/PIAdapters/PIOutputAdapter.cs,19053,19226,3f893ab0c9f494a7c017d1d81ec89d95c9824243,Source/Libraries/Adapters/PIAdapters/PIOutputAdapter.cs,19106,19224
3f893ab0c9f494a7c017d1d81ec89d95c9824243,Source/Libraries/Adapters/PIAdapters/PIPBInputAdapter.cs,13909,13982,fcee77b947dafd139d3446436f3b8c9ca5ea158b,Source/Libraries/Adapters/PIAdapters/PIPBInputAdapter.cs,14148,14198
3f893ab0c9f494a7c017d1d81ec89d95c9824243,Source/Libraries/Adapters/PIAdapters/PIRTInputAdapter.cs,17816,17887,fcee77b947dafd139d3446436f3b8c9ca5ea158b,Source/Libraries/Adapters/PIAdapters/PIRTInputAdapter.cs,17894,17942
3f893ab0c9f494a7c017d1d81ec89d95c9824243,Source/Libraries/Adapters/PIAdapters/PIRTInputAdapter.cs,15529,15611,fcee77b947dafd139d3446436f3b8c9ca5ea158b,Source/Libraries/Adapters/PIAdapters/PIRTInputAdapter.cs,15607,15666
