insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
5cf47934b54fe2c6672006b2eec74904ea59f890,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,1763,1931,24cbd23025db2b975c4ea1bcada266865eb50f16,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,1889,1929
b8b9180e8da26ae3cf87e89ce55fcf9d2a746c4c,source/FFXIV.Framework/FFXIV.Framework/FFXIVHelper/FFXIVReader.cs,4930,5156,d5526847a3261b0510c653557020f65c741018d6,source/FFXIV.Framework/FFXIV.Framework/FFXIVHelper/FFXIVReader.cs,4952,5154
b8b9180e8da26ae3cf87e89ce55fcf9d2a746c4c,source/FFXIV.Framework/FFXIV.Framework/FFXIVHelper/FFXIVReader.cs,2874,3057,5e2bf7f7463f17d1649e90058716f838da161cd7,source/FFXIV.Framework/FFXIV.Framework/FFXIVHelper/FFXIVReader.cs,6351,6402
ca7bded1d8df32755744de8648704e537d1af9b6,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,26300,26370,a8bdb65ce745e8629a07bb5e9c42c63430f86646,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,27087,27128
ca7bded1d8df32755744de8648704e537d1af9b6,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,26582,26667,b74cf18ed54679ab070fcde8e3682d72e75c8f93,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,27466,27514
a8bdb65ce745e8629a07bb5e9c42c63430f86646,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,27718,28511,a6e7bb8bec91964ac5ae95f8194220a304311b73,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,27836,28592
c5866cabb35ee2ca68b23371139142ede254e665,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,53410,53717,410f50abe556d88bdf3a3f36918f3aaca9f52c0b,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,56540,56816
c5866cabb35ee2ca68b23371139142ede254e665,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,51688,52010,e3d9318b235b14f505824159aa128a3d8ec91594,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,65104,65453
ac22fe6bbf73e4d46b378144dd848257468a8102,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,28337,28497,5483cb054fbbc046b53769b520b7c3733a746a2f,source/ACT.UltraScouter/ACT.UltraScouter.Core/Models/TargetInfoModel.cs,28473,28503
8eecc7d64565a55acc700a184c78b0eb0bd1f5f6,source/ACT.UltraScouter/ACT.UltraScouter.Core/Workers/MobListWorker.cs,7946,8528,42012c74546b4b21f78713c3ad9a340fde76977a,source/ACT.UltraScouter/ACT.UltraScouter.Core/Workers/MobListWorker.cs,7862,8214
8eecc7d64565a55acc700a184c78b0eb0bd1f5f6,source/ACT.UltraScouter/ACT.UltraScouter.Core/Workers/MobListWorker.cs,6951,7661,47ecf2f6d550c8898d04de9ecb7482a5effa8586,source/ACT.UltraScouter/ACT.UltraScouter.Core/Workers/MobListWorker.cs,6786,7183
9009ccf6a07e5eb08f12176904fa83da2368b63c,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/Models/TableCompiler.cs,3182,3245,2998537ac6126fbf1540d74b726acb2756999e68,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/Models/TableCompiler.cs,3125,3156
9009ccf6a07e5eb08f12176904fa83da2368b63c,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/Models/TableCompiler.cs,3093,3157,2998537ac6126fbf1540d74b726acb2756999e68,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/Models/TableCompiler.cs,3036,3068
58c9b708feecedcbf378cf5b45c40035693669ed,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/CombatAnalyzer.cs,4800,4857,a95b9a32a7d07f4e2cdb9bdc2a93b7d81e71cd9b,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/CombatAnalyzer.cs,4847,4887
3bd492701dcf6dbe8e73329de05201fcf41d8c08,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,65125,65504,e3d9318b235b14f505824159aa128a3d8ec91594,source/ACT.SpecialSpellTimer/ACT.SpecialSpellTimer.Core/RaidTimeline/TimelineController.cs,65104,65453
