insert commit,insert dst file,insert dst start pos,insert dst end pos,delete commit,delete src file,delete src start pos,delete src end pos
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wieldable.js,544,601,b9e01cad33a93bda01e050f68fe29adf3f8b8c32,scripts/behaviors/objects/wieldable.js,528,578
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wieldable.js,422,517,b9e01cad33a93bda01e050f68fe29adf3f8b8c32,scripts/behaviors/objects/wieldable.js,401,489
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wieldable.js,44,271,b9e01cad33a93bda01e050f68fe29adf3f8b8c32,scripts/behaviors/objects/wieldable.js,57,231
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wieldable.js,299,397,b9e01cad33a93bda01e050f68fe29adf3f8b8c32,scripts/behaviors/objects/wieldable.js,272,363
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wieldable.js,628,686,b9e01cad33a93bda01e050f68fe29adf3f8b8c32,scripts/behaviors/objects/wieldable.js,618,669
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wearable.js,183,282,436d31b72a1541ac5cc13a47d480c49a0e2ec18b,scripts/behaviors/objects/wearable.js,190,281
fe715686d6eb0a87fff5ef67d597615d9ca8db9d,scripts/behaviors/objects/wearable.js,39,155,436d31b72a1541ac5cc13a47d480c49a0e2ec18b,scripts/behaviors/objects/wearable.js,46,154
11dbb6827c2cc2dc20375493179c90d922d66f55,commands/look.js,1880,2078,986bf81a81588264748b1f05e526c8f68be6febf,commands/look.js,2350,2733
6e06527f8bed055b268f9a21a9d1762f247d6f2d,src/command_util.js,2419,2553,5d1c4a99e08e5492fa481b9c72aa98af74b90357,src/command_util.js,2446,2502
6e06527f8bed055b268f9a21a9d1762f247d6f2d,src/command_util.js,1866,1999,5d1c4a99e08e5492fa481b9c72aa98af74b90357,src/command_util.js,1887,1950
02d6f21535d66967801aadbd61b9b9bd5ecf99e2,src/events.js,5594,5705,2dc75c3f91d1ac9c80e0f90e09bf0a93d5c2641e,src/events.js,9245,9745
976e0d533dc8d214e5ea8c82339edb3350a8b75e,commands/inventory.js,352,553,106aa057bad595252b76e1eaad13f4bf19e4d06a,commands/inventory.js,507,680
976e0d533dc8d214e5ea8c82339edb3350a8b75e,commands/inventory.js,583,884,106aa057bad595252b76e1eaad13f4bf19e4d06a,commands/inventory.js,732,1101
cf163c3130bd936447ce925be35ceb9b01895e87,src/commands.js,4395,4510,d41e1975345a44e89ba089dd7de563092d3601d9,src/commands.js,4936,5028
cf163c3130bd936447ce925be35ceb9b01895e87,src/commands.js,5319,5439,c9644a4fe3c74ec55267acafb985a26830bf4e75,src/commands.js,5495,5581
a0f19493714359d63e5b03ca50d11ac288a110a7,src/commands.js,1487,1966,aef2c8e9c9e5daf5d4601fefbc205766d24b9a62,src/commands.js,2713,3297
ac6e7378acf34e301cc11328930a70d8b005dc92,src/player.js,7531,7802,1f38bb574c2497cfee9db1079fea707ce526e3aa,src/player.js,7636,7891
ac6e7378acf34e301cc11328930a70d8b005dc92,src/player.js,6966,7236,040d2b4043bc5b186e61b901aa7d7ccdf287ba59,src/player.js,7108,7360
ac6e7378acf34e301cc11328930a70d8b005dc92,src/player.js,5266,5510,e36f74e5dadd723986c490ca3cb843858f9d6744,src/player.js,11320,11753
ac6e7378acf34e301cc11328930a70d8b005dc92,src/player.js,4523,4691,e36f74e5dadd723986c490ca3cb843858f9d6744,src/player.js,10565,10714
cf6a09273270386cb0f801db59b9ae5bc6e5b27d,src/player.js,3309,3368,66eb01f997eb43fe1caa14cfe019aa853be7f62e,src/player.js,5004,5046
bdbc1b1281a0971b796ef70fbd0ed068873ad90c,src/player.js,12469,12607,040d2b4043bc5b186e61b901aa7d7ccdf287ba59,src/player.js,12517,12638
7617618127ae96f3077af2111da56b206d777057,src/effects.js,1692,2803,7349f5558a8d39b16cca65f245400c16911efaac,src/effects.js,4611,4646
36779ce96c558a9189496409fd22fd20666278fc,src/npcs.js,5961,6106,9225f7ea44a13d866cc3e7122c6c3d798baf03e0,src/npcs.js,7081,7207
f3f7174d86cb21d6fd8fa6e9eee6c7814816ea63,src/npcs.js,5547,5604,9225f7ea44a13d866cc3e7122c6c3d798baf03e0,src/npcs.js,6172,6216
530aee0bd9f2f4f4bacceb558d569b8bd356f8a7,src/accounts.js,3161,3202,a13f147d51311f5477428f422b2e11a31e96c827,src/accounts.js,3456,3484
f478b5949ffe4365267bd433a18a89b669d3e45d,src/npcs.js,6564,6713,9225f7ea44a13d866cc3e7122c6c3d798baf03e0,src/npcs.js,7448,7566
