project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
apple/swift,435,599,599,0,1676,178482
QuasarApp/CQtDeployer,1,1,1,0,2,2373
BITERP/PinkRabbitMQ,4,7,7,0,21,454
maddinat0r/samp-discord-connector,6,6,6,0,15,448
intel/beignet,2,2,2,0,24,3283
electroneum/electroneum-blockchain-explorer,2,3,3,0,4,1069
arbonagw/HeliumRain,1,1,1,0,2,4610
pencil2d/pencil,6,33,33,0,11,5207
SuperV1234/ecst,2,7,7,0,14,248
bitdefender/libbdvmi,1,1,1,0,0,103
eliboa/NxNandManager,3,4,4,0,11,467
tesseract-ocr/tesseract,2,2,2,0,1,6221
ksundberg/CourseMaterials,1,1,1,0,2,388
vogel/injeqt,3,7,7,0,24,493
yvt/openspades,3,3,3,0,5,2166
RSATom/wcjs-gs,1,4,4,0,1,77
20tab/UnrealEnginePython,1,1,1,0,1,2247
voodooattack/nexusjs,10,16,16,0,60,83
qtumproject/qtum,62,120,120,0,64,46314
jrl-umi3218/RBDyn,1,1,1,0,1,655
DiligentGraphics/DiligentCore,34,83,83,0,180,4569
xoreos/xoreos,1,1,1,0,0,6740
Phyronnaz/Voxel,1,1,1,0,2,228
xoseperez/espurna,18,20,20,0,203,4503
janba/DSC,2,12,12,0,0,1037
micro-os-plus/micro-os-plus-iii,1,4,4,0,1,1564
tiborgo/AlloStreamer,5,6,6,0,14,544
asmjit/asmjit,1,1,1,0,0,537
miguelmartin75/anax,2,8,8,0,20,305
schoentoon/hashidsxx,1,1,1,0,0,47
htcondor/htcondor,4,12,12,0,2,46825
ebetica/autogradpp,2,2,2,0,0,172
kinetiknz/cubeb,2,2,2,0,1,1515
videolan/libvlcpp,1,1,1,0,0,384
microsoft/SPTAG,1,1,1,0,1,220
microsoft/Windows-iotcore-samples,1,2,2,0,2,1524
openzim/libzim,2,2,2,0,4,1876
mabseher/htd,2,3,3,0,12,1059
lief-project/LIEF,14,42,42,0,74,2382
Tom94/tev,5,5,5,0,22,1089
YosysHQ/nextpnr,1,5,5,0,1,4803
OtterBrowser/otter-browser,118,164,164,0,20,10390
Samsung/vasum,5,16,16,0,29,584
HTMLCOIN/cpp-ethereum,27,47,47,0,158,30488
mloskot/spatial_index_benchmark,3,4,4,0,5,134
Kazade/simulant-engine,9,9,9,0,110,5290
ros2/demos,3,3,3,0,1,730
Huelse/pyseal,1,2,2,0,7,221
qicosmos/iguana,1,1,1,0,2,1012
TASVideos/fceux,1,5,5,0,4,4425
kingsamchen/Eureka,1,1,1,0,1,589
walbourn/directxtkmodelviewer,2,2,2,0,4,169
apolukhin/Boost-Cookbook,2,5,5,0,0,414
NVIDIA/TensorRT,3,7,7,0,23,563
haiwen/seafile-client,1,1,1,0,0,2548
leafo/itchio-app-old,6,8,8,0,3,196
paynebc/tunefish,4,89,89,0,9,106
bitshares/bitshares1-qtwallet,1,1,1,0,4,541
ElunaLuaEngine/ElunaTrinityWotlk,28,58,58,0,31,28239
ufownl/ranger_proxy,4,6,6,0,17,167
sskodje/ScreenRecorderLib,1,1,1,0,7,740
lirios/text,1,1,1,0,0,468
otland/forgottenserver,4,124,124,0,7,4003
eosforce/eosforce,57,85,85,0,244,15457
esphome/esphome-core,10,10,10,0,82,604
tallbl0nde/NX-Activity-Log,3,8,8,0,12,227
equinor/dlisio,2,2,2,0,5,1159
lefticus/cpp_box,1,1,1,0,7,129
vgmoose/libget,1,1,1,0,1,220
vcmi/vcmi_old_mirror,16,27,27,0,28,1850
mangostwo/server,1,1,1,0,0,3632
ArsenArsen/KShare,4,7,7,0,5,254
nholthaus/gtest-runner,4,5,5,0,3,259
MBach/Miam-Player,30,33,33,0,78,982
jolson88/BeatBuilder,1,1,1,0,0,14
sandstorm-io/ekam,2,3,3,0,3,304
citizenfx/fivem,124,144,144,0,369,11578
shadowsocks/libQtShadowsocks,3,4,4,0,2,572
TheQwertiest/foo_spider_monkey_panel,28,47,47,0,33,2167
aevum/libgdx-cpp,1,3,3,0,0,554
