project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
mtrinder/Xamarin.Plugins,1,1,1,0,0,34
FFXIVAPP/sharlayan,2,2,2,0,1,125
GitTools/GitVersion,46,106,106,0,164,6820
GitTools/GitReleaseManager,7,13,13,0,8,1007
evilC/AutoHotInterception,2,4,4,0,3,358
Blazored/Typeahead,1,4,4,0,0,192
rstropek/Samples,9,15,15,0,29,777
AnyStatus/Plugins,1,1,1,0,1,413
linmasaki/Kendo.DynamicLinqCore,1,1,1,0,6,38
SolrNet/SolrNet,37,188,188,0,209,1992
nextcloud/windows-universal,10,35,35,0,26,905
ChristopherHaws/gdax-dotnet,1,2,2,0,2,53
sonvister/Binance,13,29,29,0,85,760
FlaUI/FlaUInspect,1,1,1,0,0,22
ReflectionMagic/ReflectionMagic,1,1,1,0,2,95
sebastienros/yessql,13,23,23,0,122,532
ReClassNET/ReClass.NET,29,38,38,0,58,1239
luanshixia/AutoCADCodePack,1,1,1,0,2,73
Dynatrace/openkit-dotnet,1,1,1,0,15,737
dotnet-presentations/aspnetcore-app-workshop,8,26,26,0,43,726
dotnet-presentations/aspnetcore-workshop,3,12,12,0,0,354
GridProtectionAlliance/gsf,108,201,201,0,316,13312
adamralph-archive/scriptcs-nancy,2,2,2,0,11,151
duplicati/duplicati,64,135,135,0,140,10512
NewLifeX/XTemplate,2,2,2,0,0,110
AvaloniaUI/AvaloniaVS,7,21,21,0,28,902
x97mdr/pickles,3,4,4,0,10,302
kmees/CMContrib,1,7,7,0,2,78
anoyetta/ACT.Hojoring,37,64,64,0,122,3380
danielgerlag/workflow-core,14,19,19,0,75,994
phorcys/Taiwu_mods,4,4,4,0,26,1183
Paymentsense/Dapper.SimpleSave,6,10,10,0,3,3952
adrifcastr/OSAC,2,3,3,0,0,65
liangxiegame/QFramework,5,7,7,0,9,255
opentracing-contrib/csharp-netcore,4,7,7,0,33,84
ArcEarth/LightNovelClientWindows,4,4,4,0,19,45
jmelosegui/GooglemapMvc,1,20,20,0,19,164
iamoldli/NetModular,16,19,19,0,28,757
dlmelendez/identityazuretable,2,2,2,0,34,318
oleg-shilo/wixsharp,11,14,14,0,42,1531
cliftonm/HOPE,20,28,28,0,32,411
Alex141/CalcBinding,2,6,6,0,3,241
Pathoschild/FluentHttpClient,6,7,7,0,10,376
IdentityServer/IdentityServer3.MembershipReboot,1,2,2,0,0,114
IdentityServer/IdentityServer4.AccessTokenValidation,1,2,2,0,2,155
AdaptiveConsulting/Aeron.NET,6,15,15,0,23,416
JasperFx/oakton,2,2,2,0,18,258
xmlunit/xmlunit.net,8,58,58,0,2,680
AlternateLife/JustAnotherVoiceChat-Server,6,24,24,0,9,478
NancyFx/Nancy.MSOwinSecurity,1,1,1,0,1,63
mob-sakai/ParticleEffectForUGUI,6,11,11,0,8,368
qmk/qmk_toolbox,2,2,2,0,6,381
mgibas/EntityFramework.Testing.FakeItEasy,1,4,4,0,1,27
OrleansContrib/Orleans.CosmosDB,3,5,5,0,3,56
AndreiMisiukevich/HotReload,2,2,2,0,10,288
ControlzEx/ControlzEx,5,5,5,0,20,1230
haifengat/hf_at,2,2,2,0,16,85
AutoMapper/AutoMapper,96,192,192,0,376,4225
thomaslevesque/NString,2,17,17,0,1,87
EliotVU/Unreal-Library,6,11,11,0,5,824
csharpfritz/Fritz.StreamTools,7,11,11,0,41,566
openrails/openrails,42,123,123,0,142,8565
Azure/azure-data-lake-store-net,1,2,2,0,0,62
Azure/dotnet-template-azure-iot-edge-module,1,1,1,0,0,199
MrJul/ReSharper.EnhancedTooltip,1,1,1,0,4,260
PioneerCode/pioneer-pagination,1,1,1,0,0,91
Azure-Samples/iot-hub-dotnet-simulated-device-client-app,1,1,1,0,0,20
altmann/FluentResults,1,2,2,0,5,463
GuOrg/Gu.Localization,8,16,16,0,31,1028
thelehhman/ynoteclassic,10,31,31,0,23,116
IKende/FastHttpApi,2,2,2,0,2,263
IKende/BeetleX,2,3,3,0,2,131
groupdocs-conversion/GroupDocs.Conversion-for-.NET,4,22,22,0,1,354
cmilr/Unity2D-Components,1,1,1,0,4,531
tsqllint/tsqllint,1,1,1,0,12,366
Hyperparticle/nodulus,4,6,6,0,14,206
Fody/MethodDecorator,1,1,1,0,2,943
PlayFab/PlayFabGameServer,1,1,1,0,2,137
PlayFab/gsdk,1,1,1,0,18,208
paulbatum/Dominion,5,5,5,0,10,219
microsoft/dotnet-apiport,9,9,9,0,18,1276
microsoft/azure-devops-dotnet-samples,2,2,2,0,0,352
microsoft/aspnet-api-versioning,4,6,6,0,36,297
microsoft/qsharp-compiler,31,71,71,0,99,699
niltor/open-pdd-net-sdk,3,3,3,0,4,308
empira/PDFsharp,4,32,32,0,4,13
DSharpPlus/DSharpPlus,43,95,95,0,478,4024
matteofabbri/AspNetCore.Identity.Mongo,4,8,8,0,11,198
xapi-project/xen-api-sdk,1,2,2,0,1,484
LoL-Fantome/Fantome.Libraries.League,4,4,4,0,31,788
PrometheusClientNet/Prometheus.Client,6,9,9,0,24,829
helios-io/helios,9,35,35,0,20,459
reactiveui/Sextant,5,14,14,0,7,511
MoonStorm/Dapper.FastCRUD,9,26,26,0,39,399
mysticmind/reversemarkdown-net,1,1,1,0,8,345
nikeee/TeamSpeak3QueryAPI,2,3,3,0,2,273
mikebridge/Liquid.NET,14,31,31,0,30,393
RetireNet/dotnet-retire,2,2,2,0,2,119
NetCoreStack/Hisar,3,3,3,0,1,188
ramondeklein/nwebdav,3,14,14,0,9,289
rsdn/CodeJam,22,65,65,0,95,2213
skybrud/Skybrud.Umbraco.GridData,1,1,1,0,1,296
atifaziz/Fizzler,4,15,15,0,31,377
Samsung/Tizen-CSharp-Samples,2,2,2,0,19,1415
punker76/gong-wpf-dragdrop,1,2,2,0,2,783
IgnaceMaes/MaterialSkin,1,3,3,0,2,147
featurist/SelfishHttp,1,2,2,0,0,46
AkkaNetContrib/Akka.Persistence.PostgreSql,2,2,2,0,2,234
tpeczek/Lib.AspNetCore.ServerSentEvents,1,1,1,0,4,135
sergey-brutsky/mi-home,3,3,3,0,2,176
getsentry/sentry-dotnet,45,67,67,0,194,3272
AydinAdn/MediaToolkit,2,2,2,0,0,100
teddymacn/CoreProfiler,1,3,3,0,1,49
sukona/Grapevine,6,10,10,0,17,314
zzzprojects/EntityFramework-Effort,6,6,6,0,74,603
ExtendRealityLtd/VRTK,4,17,17,0,8,2472
watson-developer-cloud/unity-sdk,5,6,6,0,35,3566
chrisriesgo/Android-AltBeacon-Library,1,1,1,0,3,62
Chillisoft/habanero,27,48,48,0,19,1777
