project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
myrmex-org/myrmex,35,101,101,0,82,426
SpringRoll/Bellhop,1,1,1,0,4,376
HeraldStudio/herald-webservice,32,40,40,0,71,1479
dleitee/valid.js,1,1,1,0,14,220
benscabbia/x-ray,1,1,1,0,0,13
eahefnawy/serverless-mailer,1,1,1,0,2,21
rummelj/bindingjs,13,41,41,0,23,218
aquibbaig/club-website,3,4,4,0,5,76
xmpp-ftw/xmpp-ftw,1,179,179,0,0,171
genieacs/genieacs-sim,1,1,1,0,0,10
mozilla/fathom-fox,10,11,11,0,15,313
mozilla/sign-addon,8,59,59,0,32,1412
mozilla/elmo,3,5,5,0,0,639
sebastian-software/postcss-smart-import,6,41,41,0,7,460
patrickmoffitt/local-sqlite-example,2,12,12,0,12,13
wuchangming/spy-debugger,1,1,1,0,16,223
kubeless/kubeless-ui,8,12,12,0,25,204
ali-kos/kos,1,1,1,0,1,45
ProseMirror/prosemirror-tables,1,1,1,0,8,330
DavidCai1993/lock.js,1,1,1,0,1,53
andreypopp/reactdown,3,4,4,0,3,263
ipbc-dev/ipbc-pool,6,10,10,0,17,1061
DashboardCode/BsMultiSelect,54,2006,2006,0,1537,523
dmo60/CoverflowAltTab,4,7,7,0,7,513
fhqvst/avanza,1,2,2,0,44,180
aichaos/rivescript-js,3,6,6,0,0,424
jonschlinkert/markdown-utils,1,12,12,0,0,66
thedillonb/GitHub-Trending,1,2,2,0,0,45
renrenche/rock,1,1,1,0,0,14
graknlabs/client-nodejs,6,9,9,0,41,660
spirit-js/spirit,11,12,12,0,68,134
signmeup/signmeup,10,99,99,0,41,698
nfroidure/svgicons2svgfont,3,134,134,0,0,288
Vaeb/VaeBot,26,138,138,0,110,1116
canalplus/react-keys,7,34,34,0,67,532
hackerkid/peerdium,1,158,158,0,0,62
cake-build/cake-yeoman,1,2,2,0,0,38
digitalsherpas/ethereum-services,1,1,1,0,1,97
elastic/require-in-the-middle,1,1,1,0,0,118
ipfs/js-datastore-s3,2,8,8,0,35,112
MaslowCNC/Maslow-Create,53,482,482,0,630,2695
unconed/shadergraph,1,1,1,0,3,114
jkphl/gulp-svg-sprite,1,16,16,0,0,165
smollweide/react-speed-dial,2,2,2,0,8,151
PeachScript/vue-infinite-loading,1,1,1,0,14,381
google/detangle,1,2,2,0,2,14
primefaces/primefaces,13,28,28,0,27,11863
sospedra/mayre,1,1,1,0,5,67
moip/awesome-mask,2,2,2,0,3,86
poteto/ember-lazy-video,2,4,4,0,0,89
app-sre/visual-qontract,8,12,12,0,14,487
tiaanduplessis/react-native-surrender,1,1,1,0,0,27
charleslxh/react-socket-io,1,1,1,0,1,27
azazdeaz/react-gsap-enhancer,4,5,5,0,6,147
gkaemmer/react-fade-in,1,5,5,0,0,47
richardschneider/express-mung,1,1,1,0,4,54
nrenner/brouter-web,4,4,4,0,2,1250
ninja33/ODH,5,6,6,0,30,233
ghettovoice/vuelayers,49,95,95,0,180,1082
ritz078/transform,13,14,14,0,10,393
JustArchiNET/ASF-WebConfigGenerator,3,23,23,0,0,1527
nysamnang/react-native-raw-bottom-sheet,1,3,3,0,12,163
yingye/weapp-qrcode,1,1,1,0,1,74
tkellen/js-express-bearer-token,1,2,2,0,1,48
electerious/basicLightbox,1,1,1,0,2,201
xotahal/react-native-material-ui,22,48,48,0,35,523
yTakkar/React-Mini-Social-Network,7,9,9,0,10,128
ember-cli/broccoli-uglify-sourcemap,4,5,5,0,7,343
koa-modules/multer,1,3,3,0,1,35
danpaz/bodybuilder,5,11,11,0,45,622
alphasp/pxview,93,175,175,0,191,1039
xaviervia/react-dream,1,1,1,0,2,118
adfinis-sygroup/timed-frontend,15,42,42,0,75,1825
taskcluster/azure-entities,1,1,1,0,0,571
socketio/socket.io,47,1656,1656,0,41,7571
router5/react-router5,1,2,2,0,5,103
rjrodger/nid,3,7,7,0,0,24
rjrodger/gex,1,11,11,0,1,41
jxm262/xchange.js,6,510,510,0,4,177
moustacheminer/discordmail,8,10,10,0,23,530
UnsignedInt8/LightSword,4,5,5,0,17,367
aarondfrancis/vue-model,2,3,3,0,2,34
marcelklehr/floccus,39,67,67,0,201,3162
Binaryify/amrToMp3,1,2,2,0,0,25
fieteam/fie,4,15,15,0,12,329
jamstack/jamstack.org,2,7,7,0,7,1338
StephenGrider/ReduxSimpleStarter,1,1,1,0,0,65
NikolasMelui/nodejs-boilerplate,1,1,1,0,1,111
Kalamandea/Rikaichan,7,9,9,0,15,89
atlassian/extract-react-types,3,7,7,0,129,269
panr/gatsby-starter-hello-friend,2,2,2,0,4,38
jkyberneees/ana,6,8,8,0,18,508
tylingsoft/markdown-plus,2,58,58,0,3,889
larsenwork/postcss-easing-gradients,1,4,4,0,1,75
one-more/react-cron-builder,2,2,2,0,1,21
tscanlin/tocbot,6,39,39,0,15,521
benjamingr/bluebird-api,2,2,2,0,11,179
graphql/express-graphql,10,13,13,0,85,870
2729StormRobotics/tba-api-storm,1,1,1,0,0,114
kevva/decompress-tarxz,1,2,2,0,0,20
kubesail/create-node-app,2,2,2,0,3,86
matrix-org/matrix-appservice-bridge,32,86,86,0,32,1803
KyberNetwork/KyberWidget,13,19,19,0,10,1014
finom/bala,2,4,4,0,2,106
konnectors/cozy-konnector-template,1,1,1,0,2,641
svgdotjs/svg.filter.js,1,2,2,0,0,73
