project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
Codeception/Codeception,4,22,22,0,1,945
Payum/Core,1,16,16,0,0,126
prooph/event-store-client,4,312,312,0,119,123
FriendsOfPHP/PHP-CS-Fixer,15,159,159,0,10,4045
luyadev/luya-module-cms,1,23,23,0,0,716
monicahq/monica,19,70,70,0,5,826
eduvpn/vpn-user-portal,3,4,4,0,2,1862
NamelessMC/Nameless,2,2,2,0,0,3773
amphp/file,5,19,19,0,5,148
splitbrain/dokuwiki,10,24,24,0,0,2208
sybrew/the-seo-framework,2,3,3,0,1,571
imbo/behat-api-extension,2,7,7,0,0,164
overtrue/socialite,1,2,2,0,0,107
sonata-project/SonataBlockBundle,1,3,3,0,0,729
yajra/laravel-datatables-editor,1,2,2,0,0,96
symfony/finder,1,27,27,0,0,466
symfony/messenger,3,30,30,0,9,1212
erandirjunior/plug-route,1,1,1,0,0,120
