project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
ddnexus/pagy,3,7,7,0,9,2032
mephux/ruby-nessus,2,8,8,0,8,359
stantmob/arpa,1,2,2,0,17,211
cyberark/conjur,2,12,12,0,3,3755
xcpretty/xcode-install,1,1,1,0,0,511
rocketjob/rocketjob,2,2,2,0,5,496
orendon/contrib-hub,1,1,1,0,0,711
oauth-xx/oauth-ruby,2,2,2,0,0,817
ontohub/ontohub,8,12,12,0,9,6052
openjournals/brief-ideas,1,1,1,0,0,478
PetrNikolas/niklick,1,4,4,0,2,300
Gamocosm/Gamocosm,1,1,1,0,0,480
AyuntamientoMadrid/transparencia,1,1,1,0,1,1170
kostya/eye,2,3,3,0,0,1339
jlsuttles/g5-content-management-system,2,22,22,0,0,2348
hanami/mailer,4,4,4,0,4,332
cloudfoundry-community/tomee-buildpack,1,3,3,0,3,2427
sethdeckard/m3u8,1,13,13,0,0,299
juntos-com-vc/juntos.com.vc,7,36,36,0,27,9712
sous-chefs/nagios,1,1,1,0,1,1742
ionia-corporation/active_force,1,1,1,0,0,412
grackorg/grack,1,1,1,0,0,124
nixme/jazz_hands,1,1,1,0,0,41
artofhuman/activeadmin_settings_cached,1,1,1,0,0,137
DigitalNZ/supplejack_manager,1,1,1,0,0,1558
samvera/hyrax,6,16,16,0,19,16347
discourse/discourse-patreon,1,2,2,0,0,369
ContributorCovenant/beacon,1,4,4,0,1,720
spree-contrib/spree_price_books,1,1,1,0,2,17
WikiEducationFoundation/WikiEduDashboard,1,1,1,0,4,17681
rubyforgood/habitat_humanity,1,1,1,0,0,387
skomputer/lilsis,2,2,2,0,0,1086
codemy/shopper,1,1,1,0,0,475
palkan/test-prof,1,2,2,0,2,751
rutan/potmum,2,4,4,0,3,205
