commit,src file,dst file,status,src start pos,src end pos,dst start pos,dst end pos,res,project,committed_date
680bb5b05b13b738176a38f991dbc5f847592f6f,lib/ConstExtract/ConstExtract.cpp,lib/ConstExtract/ConstExtract.cpp,insert,43171,44099,43090,44096,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2025-01-07 07:31:29-08:00
8bb5bbedbc094514f718963a585bae90a19af90d,lib/Sema/TypeCheckAvailability.cpp,lib/Sema/TypeCheckAvailability.cpp,insert,158313,158445,153852,154017,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2025-01-10 10:39:14-08:00
a4203ed50868c27b2b6fcac1eb5d29f825351a15,lib/Sema/TypeCheckAvailability.cpp,lib/Sema/TypeCheckAvailability.cpp,insert,112054,112842,112063,112418,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2025-01-07 07:31:13-08:00
4946c799af4e9b294531daca96f1b89195cce236,lib/AST/Module.cpp,lib/AST/Module.cpp,insert,29341,30009,28756,29254,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/ClangImporter/ClangImporter.cpp,lib/ClangImporter/ClangImporter.cpp,insert,62740,62844,62740,63097,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/ClangImporter/ClangImporter.cpp,lib/ClangImporter/ClangImporter.cpp,insert,109558,109632,109661,109912,"expr,argument,argument_list,call,expr,init,decl,decl_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/Frontend/Frontend.cpp,lib/Frontend/Frontend.cpp,insert,57572,57699,57589,60660,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/IDE/REPLCodeCompletion.cpp,lib/IDE/REPLCodeCompletion.cpp,insert,10328,10437,10328,10571,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/IDETool/IDEInspectionInstance.cpp,lib/IDETool/IDEInspectionInstance.cpp,insert,15083,15224,15088,15387,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
4946c799af4e9b294531daca96f1b89195cce236,lib/Sema/SourceLoader.cpp,lib/Sema/SourceLoader.cpp,insert,4820,4889,4820,5133,"expr,argument,argument_list,call,expr,expr_stmt",apple/swift,2024-11-17 14:17:20+00:00
