commit,src file,dst file,status,src start pos,src end pos,dst start pos,dst end pos,res,project,committed_date
00230907cbba2f5fc882761aa9690bddd93058ab,Version/Version/Version.Plugin/CrossVersion.cs,Version/Version/Version.Plugin/CrossVersion.cs,insert,190,327,204,475,"argument,argument_list,object_creation_expression,equals_value_clause,variable_declarator,variable_declaration,field_declaration",mtrinder/Xamarin.Plugins,2015-04-23 17:35:58+10:00
5116d360d587bd0e91254adb0a6989ffa445c101,Sharlayan/Scanner.cs,Sharlayan/Scanner.cs,insert,10609,10642,10609,10689,"argument,argument_list,object_creation_expression,equals_value_clause,variable_declarator,variable_declaration,field_declaration",FFXIVAPP/sharlayan,2017-07-12 08:27:13-07:00
3978ecad059bfe6dbde4efb23d97d68c2b578dba,FFXIVAPP.Memory/MemoryHandler.cs,Sharlayan/MemoryHandler.cs,insert,14878,14917,14842,14944,"argument,argument_list,object_creation_expression,equals_value_clause,variable_declarator,variable_declaration,field_declaration",FFXIVAPP/sharlayan,2017-07-10 12:23:20-07:00
50c00ace4978226e36209b21c401f4035ce906ad,src/GitVersion.Core.Tests/IntegrationTests/MainlineDevelopmentMode.cs,src/GitVersion.Core.Tests/IntegrationTests/MainlineDevelopmentMode.cs,insert,10400,10454,11112,11269,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2024-01-23 12:03:53+01:00
1992f424685323ada80eae060e45eafdd7b965b9,src/GitVersion.Core/VersionCalculation/BaseVersionCalculators/VersionInBranchNameVersionStrategy.cs,src/GitVersion.Core/VersionCalculation/BaseVersionCalculators/VersionInBranchNameVersionStrategy.cs,insert,1156,1326,1147,1327,"argument,argument_list,implicit_object_creation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2023-04-04 20:14:55+02:00
03dd7e4d3aace5387b267ea6d6354fd4a6da2b37,src/GitVersion.Configuration.Tests/Configuration/ConfigurationExtensionsTests.cs,src/GitVersion.Configuration.Tests/Configuration/ConfigurationExtensionsTests.cs,insert,278,652,278,605,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2024-02-22 16:34:13+01:00
03dd7e4d3aace5387b267ea6d6354fd4a6da2b37,src/GitVersion.Configuration.Tests/Configuration/ConfigurationExtensionsTests.cs,src/GitVersion.Configuration.Tests/Configuration/ConfigurationExtensionsTests.cs,insert,278,652,278,605,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2024-02-22 16:34:13+01:00
35aed5c0bf232015c1f2ff9846fd083038767e70,src/GitVersion.LibGit2Sharp/Git/Commit.cs,src/GitVersion.LibGit2Sharp/Git/Commit.cs,insert,512,579,575,695,"argument,argument_list,object_creation_expression,assignment_expression,expression_statement",GitTools/GitVersion,2024-03-21 09:19:31+01:00
a2299d023cb2576df6aa990e2805d8ad3396b776,src/GitVersion.Core/Configuration/Init/SetConfig/ConfigureBranches.cs,src/GitVersion.Core/Configuration/Init/SetConfig/ConfigureBranches.cs,insert,1094,1159,1166,1274,"argument,argument_list,invocation_expression,expression_statement",GitTools/GitVersion,2023-03-28 09:20:31+02:00
9ab0fc5118b9d1f1dd2255846b2f41ebe0e8bb8b,build/build/Tasks/Test/PublishCoverage.cs,build/build/Tasks/Test/PublishCoverage.cs,insert,738,815,738,906,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2023-02-22 14:42:08+01:00
f792d8fc0acfdf8a300b122939564708cc6c64e7,src/GitVersion.App.Tests/VersionWriterTests.cs,src/GitVersion.App.Tests/VersionWriterTests.cs,insert,747,769,746,887,"argument,argument_list,invocation_expression,expression_statement",GitTools/GitVersion,2023-03-04 18:02:22+01:00
f792d8fc0acfdf8a300b122939564708cc6c64e7,src/GitVersion.App.Tests/VersionWriterTests.cs,src/GitVersion.App.Tests/VersionWriterTests.cs,insert,1084,1106,1158,1305,"argument,argument_list,invocation_expression,expression_statement",GitTools/GitVersion,2023-03-04 18:02:22+01:00
3442d5a5f12a03884617d018fed4ddd7a37c2f4d,src/GitVersion.Core/VersionCalculation/NextVersionCalculator.cs,src/GitVersion.Core/VersionCalculation/NextVersionCalculator.cs,insert,6903,7142,6903,7239,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2023-02-19 13:25:53+01:00
29180ca70eef399b2e2d03d9a2f97caff7a5b1ab,new-cli/GitVersion.Cli/Extensions/ContainerRegistrarExtensions.cs,new-cli/GitVersion.Cli/Extensions/ContainerRegistrarExtensions.cs,insert,374,721,374,661,"argument,argument_list,invocation_expression,arrow_expression_clause,method_declaration",GitTools/GitVersion,2023-02-23 03:10:59+01:00
e18d34d69325819fa06f6b9e2f930ed789707169,src/GitVersion.Core.Tests/IntegrationTests/DevelopScenarios.cs,src/GitVersion.Core.Tests/IntegrationTests/DevelopScenarios.cs,insert,14179,14390,14179,14454,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2022-10-15 15:23:56+02:00
e18d34d69325819fa06f6b9e2f930ed789707169,src/GitVersion.Core.Tests/VersionCalculation/EffectiveBranchConfigurationFinderTests.cs,src/GitVersion.Core.Tests/VersionCalculation/EffectiveBranchConfigurationFinderTests.cs,insert,3338,3592,3540,3904,"argument,argument_list,invocation_expression,member_access_expression,invocation_expression,equals_value_clause,variable_declarator,variable_declaration,local_declaration_statement",GitTools/GitVersion,2022-10-15 15:23:56+02:00
