commit,datetime,src file,dst file,status,src start pos,src end pos,dst start pos,dst end pos,res,project,committed_date
fb42e158e9a5ef7625745cdafc7ff4409a179286,2019-09-09 10:51:18+00:00,refdiff-evaluation/src/test/java/refdiff/evaluation/performance/RunPerformanceComparison.java,refdiff-evaluation/src/test/java/refdiff/evaluation/performance/RunPerformanceComparison.java,insert,1971,2032,2033,2139,"argument_list,method_invocation,variable_declarator,local_variable_declaration",aserg-ufmg/RefDiff,2019-09-09 07:51:18-03:00
f2647aa0c0178c24342756c6cb49a2bd27e228ea,2017-09-15 09:54:06+00:00,src/main/java/gwt/material/design/client/data/infinite/InfiniteDataView.java,src/main/java/gwt/material/design/client/data/infinite/InfiniteDataView.java,insert,6814,7422,6499,6903,"argument_list,method_invocation,argument_list,method_invocation,expression_statement",GwtMaterialDesign/gwt-material-table,2017-09-15 21:54:06+12:00
57a4899795fe5cd5868af79570caa29dd85e798c,2017-08-11 08:53:19+00:00,src/main/java/gwt/material/design/client/ui/table/XScrollPanel.java,src/main/java/gwt/material/design/client/ui/table/XScrollPanel.java,insert,975,1022,1149,1470,"variable_declarator,local_variable_declaration",GwtMaterialDesign/gwt-material-table,2017-08-11 20:53:19+12:00
ff242b847c2c035b73e5f624fc24d0416b1f7a76,2017-07-29 11:20:36+00:00,src/main/java/gwt/material/design/client/data/AbstractDataView.java,src/main/java/gwt/material/design/client/data/AbstractDataView.java,insert,34254,34306,34741,34829,"argument_list,method_invocation,variable_declarator,local_variable_declaration",GwtMaterialDesign/gwt-material-table,2017-07-29 23:20:36+12:00
f5f266a0b96777994bb2c72032f883bff87522d9,2017-06-16 05:56:32+00:00,src/main/java/gwt/material/design/client/data/AbstractDataView.java,src/main/java/gwt/material/design/client/data/AbstractDataView.java,insert,53646,53674,54875,54942,"argument_list,method_invocation,method_invocation,expression_statement",GwtMaterialDesign/gwt-material-table,2017-06-16 17:56:32+12:00
f5f266a0b96777994bb2c72032f883bff87522d9,2017-06-16 05:56:32+00:00,src/main/java/gwt/material/design/client/data/AbstractDataView.java,src/main/java/gwt/material/design/client/data/AbstractDataView.java,insert,33704,33756,35127,35215,"argument_list,method_invocation,variable_declarator,local_variable_declaration",GwtMaterialDesign/gwt-material-table,2017-06-16 17:56:32+12:00
1e47f87f158e46c403af9ede5f8e09084627b00b,2024-04-03 23:08:39+00:00,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,insert,7314,8085,6666,7069,"argument_list,method_invocation,method_invocation,expression_statement",rubenlagus/TelegramBotsExample,2024-04-04 00:08:39+01:00
1e47f87f158e46c403af9ede5f8e09084627b00b,2024-04-03 23:08:39+00:00,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,insert,9426,10183,8273,8663,"argument_list,method_invocation,method_invocation,expression_statement",rubenlagus/TelegramBotsExample,2024-04-04 00:08:39+01:00
1e47f87f158e46c403af9ede5f8e09084627b00b,2024-04-03 23:08:39+00:00,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,src/main/java/org/telegram/updateshandlers/DirectionsHandlers.java,insert,5865,6596,5670,6015,"argument_list,method_invocation,method_invocation,expression_statement",rubenlagus/TelegramBotsExample,2024-04-04 00:08:39+01:00
f2a9c5610ea15b506ab3a891909f8962695e42d0,2024-01-02 12:43:41+00:00,app/src/main/java/com/eveningoutpost/dexdrip/StopSensor.java,app/src/main/java/com/eveningoutpost/dexdrip/StopSensor.java,insert,3096,3308,3128,3208,"argument_list,method_invocation,expression_statement",NightscoutFoundation/xDrip,2024-01-02 12:43:41+00:00
