commit,src file,dst file,status,src start pos,src end pos,dst start pos,dst end pos,res,project,committed_date
17b6765d210a8386af60da84bb55c0e329984a6f,src/Codeception/Subscriber/Console.php,src/Codeception/Subscriber/Console.php,insert,25259,25559,25367,25613,"argument,arguments,function_call_expression,argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2024-05-28 21:14:38-05:00
17b6765d210a8386af60da84bb55c0e329984a6f,src/Codeception/Util/ReflectionHelper.php,src/Codeception/Util/ReflectionHelper.php,insert,5239,5324,5219,5323,"argument,arguments,function_call_expression,argument,arguments,function_call_expression,binary_expression,binary_expression,return_statement",Codeception/Codeception,2024-05-28 21:14:38-05:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Configuration.php,src/Codeception/Configuration.php,insert,15831,16367,15801,16285,"argument,arguments,function_call_expression,argument,arguments,function_call_expression,return_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Coverage/Subscriber/LocalServer.php,src/Codeception/Coverage/Subscriber/LocalServer.php,insert,6341,6515,6274,6404,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Lib/Connector/Shared/PhpSuperGlobalsConverter.php,src/Codeception/Lib/Connector/Shared/PhpSuperGlobalsConverter.php,insert,2592,2812,2592,2727,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Lib/Friend.php,src/Codeception/Lib/Friend.php,insert,602,728,488,584,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Lib/ModuleContainer.php,src/Codeception/Lib/ModuleContainer.php,insert,10731,10894,10577,10713,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Step.php,src/Codeception/Step.php,insert,10233,10382,9913,10018,"argument,arguments,function_call_expression,argument,arguments,object_creation_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Subscriber/Console.php,src/Codeception/Subscriber/Console.php,insert,5735,6083,5441,5721,"argument,arguments,function_call_expression,argument,arguments,function_call_expression,argument,arguments,member_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Test/Loader/Cest.php,src/Codeception/Test/Loader/Cest.php,insert,1712,1932,1718,1870,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Test/Loader/Gherkin.php,src/Codeception/Test/Loader/Gherkin.php,insert,3766,3905,3674,3752,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Util/ReflectionHelper.php,src/Codeception/Util/ReflectionHelper.php,insert,4795,5077,4793,5012,"assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
2b7e9ace43d414902ecdba64d245fefa3fee8526,src/Codeception/Util/ReflectionHelper.php,src/Codeception/Util/ReflectionHelper.php,insert,5233,5458,5168,5336,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-11-22 23:52:49+02:00
3900f8da535b9e4dfb8f252663e9047d4efc353f,src/Codeception/Command/Run.php,src/Codeception/Command/Run.php,insert,20970,21118,20975,21051,"argument,arguments,function_call_expression,assignment_expression,expression_statement",Codeception/Codeception,2022-02-04 19:49:36+02:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/data/SimpleCest.php,tests/data/SimpleCest.php,insert,116,191,129,194,"argument,arguments,member_call_expression,member_call_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/data/SimpleCest.php,tests/data/SimpleCest.php,insert,255,333,258,326,"argument,arguments,member_call_expression,member_call_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/data/SimpleWithNoClassCest.php,tests/data/SimpleWithNoClassCest.php,insert,93,149,93,134,"argument,arguments,member_call_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/unit/Codeception/Command/BaseCommandRunner.php,tests/unit/Codeception/Command/BaseCommandRunner.php,insert,1549,2783,1650,2759,"array_element_initializer,array_creation_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/unit/Codeception/Command/BaseCommandRunner.php,tests/unit/Codeception/Command/BaseCommandRunner.php,insert,1549,2783,1650,2759,"array_element_initializer,array_creation_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
36406581220080c38f8389673fbc9a1b5590eb57,tests/unit/Codeception/Command/BaseCommandRunner.php,tests/unit/Codeception/Command/BaseCommandRunner.php,insert,1549,2783,1650,2759,"array_element_initializer,array_creation_expression,assignment_expression,expression_statement",Codeception/Codeception,2021-12-03 23:03:50-05:00
